Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Label Tea - Natural Care,Red Label,1 kg,Rs 430,"['Red label natural care is from the house of Brooke bond and the brand red label. Red label natural care tea contains the goodness of 5 natural ingredients - cardamom, ginger, tulsi, mulethi & ashwagandha, all of them are extremely beneficial for your body as they enhance immunity while giving a unique flavour to the rich tea. Red label natural care tea is also available in tea bags!\nDisclaimers: as per ayurvedic texts and human studies on NK cell activity, the mix of natural ingredients in red natural care tea helps protect from cold, cough and flu. Based on market research studies done on 785 consumers. Red natural care tea helps build immunity against common ailments. contains added natural flavours.']"
Label Tea,Red Label,250 g Carton,Rs 100,"['Brooke Bond Red Label is one of India’s largest selling packaged tea brands. Brooke Bond Red Label Tea is a blend CTC tea with best quality leaves; processed in the unique Brooke Bond Tea Excellence Centre. Since 1869, Brooke Bond has brought you the perfect tasting tea experience with the best-chosen leaves. It was in 1903 that Brooke Bond launched “Red Label”. That is when Brooke Bond Red Label started worked to create India’s one of most favourite beverage “chai”. Every cup of Red Label is brewed with the best-chosen tea leaves; that ensure your tea has strength, rich colour, and refreshing taste. We believe our tea has the taste of togetherness that gives that perfect taste, colour and irresistible aroma. Red Label is all about coming together over a warm cup of tea with everyone around. It is the “Swad Apnepan ka (Taste of Togetherness). Brooke Bond Red Label stands for inclusiveness and making the world a better place one cup at a time. Enjoy the great tasting range from Red Label Core and Red Label Natural Care; that has a mix of 5 Ayurvedic ingredients namely Tulsi, Ashwagandha, Mulethi, Ginger and Cardamom. Red Label Natural Care is clinically proven to enhance immunity and help you fall ill less often.']"
Tea Gold Leaf Tea,Tata Tea Gold,1 kg,Rs 441.75,['Tata Tea Gold is a unique blend of fine Assam tea leaves with special 15% \xa0long leaf']
Mahal Tea,Taj Mahal,1 kg Carton,Rs 420,['50 Glorious years of Excellence']
Cola Diet Coke Soft Drink - Low-Calorie,Coca Cola,300 ml Can,Rs 33,"[""The same delicious, uplifting, and refreshing taste of Coca-Cola, without the sugar. Diet Coke has a crisp flavour and Less than 1 Calorie, ideal for those who like to monitor their calorie intake.\r\nBest known soft drink in the world, in India, Coca-Cola was the leading cola drink till 1977 and then it made a comeback in 1993. Coca-Cola has a taste that refreshes, for a rewardingly uplifting experience. \r\nWhile there's no one quite like you, there's a Coca-Cola for your uniqueness and style. Whether it be a Party Coca-Cola bottle, or a mini, or an ice-cold Diet Coke, or a Coca-Cola Zero sugar in a can, there's a refreshing way to enjoy your own! Try one today.""]"
 Sunrise Instant Coffee - Chicory Mixture,Nescafe ,11 g Pouch,Rs 10,"['Nescafe Sunrise is an instant coffee-chicory mixture made from 70% coffee powder and 30% chicory. This instant coffee is made with the fine blends of Arabica and Robusta coffee beans from the farms of South India. These beans are slow-roasted in rotating drum roasters till they develop the perfect aroma. Nestle’s world-class technology then ensures this aroma is retained all through the coffee-making process and finally capture in aroma granules. This soluble coffee is easy to use, ensuring coffee-making doesn’t seem like an inconvenience. So, rise up to the awakening taste and rich aroma of NESCAFE Sunrise coffee and let new opportunities come to you.\xa0THE NESCAFE PLAN: We are committed to using sustainable processes in our coffee production and taking care of our planet by introducing better farming techniques. Nescafe works directly with 1,70,000 coffee farmers every year and helps them grow better quality, delicious coffee which leads to an increase in their income.']"
Masti Buttermilk - Spice,Amul,180 ml Carton,Rs 10,['Amul Masti Spice Buttermilk is a natural milk-based drink which will refresh you immediately on a hot summer afternoon. The slightly sour liquid spiced up with various Indian spices is a healthy alternative to sodas and cold drinks during summers.']
 Mineral Water,Bisleri ,5 L Can,Rs 60,['Bisleri is one of the most popular brands for bottled water. Bisleri follows a six-step stringent purification process which means that the water from Bisleri is pure and absolutely good for your health. Even the bottles where the water is stored are made in Bisleri plants as well to avoid contamination.']
Coffee - Powder,Cothas Coffee,Speciality Blend of Coffee & Chicory Powder,Rs 230,"['Cothas Specialty Blend Coffee and Chicory include composition of Coffee 85% & Chicory 15%. It is a roasted coffee seeds with pure coffee powder. It lowers the risk of range of cancers, improves cholesterol health, lowers risk of heart diseases, elevated fat burning and also increases strength and power. Chicory is also known to destroy intestinal parasites, purify the blood and improve liver health.']"
Drink - Fresh 'N' Juicy Mango,Frooti,160 ml Tetra,Rs 10,"[""Frooti Fresh 'N' Juicy Mango is made with actual mango pulps! This wonderful and stimulating drink is a 100% vegetarian manufactured goods that contains No additives.""]"
Cola Soft Drink,Coca Cola,300 ml Tin,Rs 33,"[""It's delicious, uplifting and refreshing since 1886. Best known soft drink in the world, in India, Coca-Cola was the leading cola drink until 1977 and then it made a comeback in 1993. Coca-Cola has a taste that refreshes, for a rewardingly uplifting experience. While there's no one quite like you, there's a Coca-Cola for your uniqueness and style. Whether it be a Party Coca-Cola bottle, or a mini, or an ice-cold Diet Coke, or a Coca-Cola Zero sugar in a can, there's a refreshing way to enjoy your own! With Coca-Cola, try the Original Cola Refreshment that brings enjoyment and positivity with every sip.""]"
Maid  Fruit Drink - Pulpy Orange,Minute Maid ,1 L PET Bottle,Rs 63,"['Minute Maid Pulpy Orange is a blend that starts with the goodness of orange pulp in every gulp for delicious taste of Orange and a blast of real pulp! This fruit drink provides a refreshing taste of juice to quench thirst and delights the taste buds, while the pulp that can be chewed to relish a fruit-eating experience.\r\nMinute Maid has been served with love for generations, and is now one of the world’s largest juice and juice drink brands. It believes that when you put good in, you get good out, with juice and with people. With Minute Maid, goodness comes in over 10 different varieties of ready-to-drink fruit drinks that can be shared with the whole family.']"
Soda - Fizz,Bindu,Jeera Masala,Rs 35,"['Purified water, Sugar, Carbon dioxide (E290), Class II Preservatives (E211), Contain Permitted Synthetic Food Colours and Added Flavours.']"
Litchi Delight Juice - Aseptic Pack,Tropicana,200 ml Bottle,Rs 20,"['Savour the superior taste of litchis!\nNow in a pocket pack! Carry the goodness with you.\nWith no added preservatives, colours or artificial flavouring, Tropicana puts the good in the morning across its different flavours.\nDid You Know?\nLitchi was first cultivated as early as 1700 BC. They are known to be an excellent source of vitamins and minerals.']"
Glucose Based Beverage Mix - Orange,Glucon-D,75 g (Get 50 g Free),Rs 40,"[""Summers can be daunting and especially when there's an enormous scorching sun always ready to drain out your energy and stop you from being the best of you. But thank god there is Glucon-D! Glucon-D contains glucose that helps replenish body glucose and fills you with the energy required to stay active. It is easily absorbed by the body, thus giving out an instant energy boost and refreshment.Enriched with Vitamin-C and Minerals, including Calcium and Phosphorus, this glucose drink helps charge you up to fight tiredness and promotes mental alertness. What's better? Added Orange flavour makes it loved by children as well as adults. Add Glucon-D to a glass of water every day to provide growing active children with the energy that keeps them going and adults, refreshment after a long day.""]"
