Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
 Nestle Nan Pro 2 Follow-Up Formula Powder - After 6 months,Nestle ,Stage 2,Rs 590,"['Nestle NAN PRO 2 is a spray dried Follow-up formula for infants after 6 months when they are not breastfed. NAN Pro 2 contains DHA that supports baby’s normal brain development. It also contains Vitamin A, C, D, Calcium, Zinc and Iron.\xa0Nestle develops infant nutrition products backed by evolving science and research.Innovation has been at the heart of Nestle since its beginning.\xa0Optimal Preparation: Careful and hygienic preparation of infant milk substitute is most essential for health.\xa0Important Notice: Nestle agrees with the World Health Organization and other leading medical and health associations that breast milk is the best and most natural food for babies.']"
 New Extra Large,Pampers ,56 pcs 56's Pack,Rs 1044.05,"[""Pampers baby diaper pants are the only pants in India with new air channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks the wetness away for up to 12 hours of dryness. The new and improved product design enables a comfortable fit, closer to the baby's body.A flexible waistband that adapts to the baby's movements for a comfortable fit. Baby lotion with aloe vera helps protect your baby's delicate skin from diaper rash and irritation. A top layer with the cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics; fun designs and characters to enjoy with your baby.""]"
 New Dry Large - 64 Diaper Pants,Pampers ,64 pcs,Rs 1044.05,"['Pampers dry, pants style diapers are the only pants in India with new air channels that provides your baby with breathable dryness overnight. It contains a magic gel that locks wetness away for up to 12 hours and the new and improved design enables a comfortable fit, closer to the babys body. The diaper pants have a flexible waist band that adapts to the babys movements for a comfortable fit, while the baby lotion with aloe vera helps protect your babys delicate skin from diaper rash and irritation. The diaper pants top layer is made of a cotton like soft material, for a comfortable night sleep, while the exterior has fun graphics, designs and characters on it.']"
 Cerelac Fortified Baby Cereal With Milk,Nestle ,Multigrain & Fruits - From 12 Months,Rs 252,"['Nestle Cerelac Fortified Baby Cereal with Milk, Multigrain & Fruits is a complementary food for babies from 12 months onwards. While infants and children have higher requirements of nutrients than adults, 2 serves of Cerelac Multigrain & Fruits Cereal provides 55% of a baby’s daily need of iron. Also a source of 17 important nutrients including vitamins and minerals, Cerelac Multigrain & Fruits Cereal is free from added colours, flavours and preservatives.\xa0Nestle develops infant nutrition products backed by evolving science and research. Innovation has been at the heart of Nestle since its beginning.\xa0Important Notice: Mother’s milk is best for your baby.\xa0Safety Warnings: Infant food shall be introduced only (after the age of 6 months up to the age of two years). Infant food should be used only on the advice of a health worker as to the need for its use and the proper method of its use. Infant food is not the sole source of nourishment for an infant. Use prepared feed within half an hour otherwise microbial deterioration may set in. Discard unused feed.']"
Dove Rich Moisture Bar,Baby Dove,75 g,Rs 52,"['In the first few months our babys skin is continually developing, so as well as being as soft, its also super delicate. Babys skin is 30% thinner than ours, so its more vulnerable to damage and dryness and their skin barrier is weaker too, which means babys skin loses moisture up to five times faster than ours does. Thats why the best baby bath soap should give your babys skin the gentle care it needs. Baby bath products should offer more than just mild cleansing - they need to ensure the healthy development of your babys skin too. Gentler and more nourishing than any other baby soap bar, Baby Dove Rich Moisture Baby Bar has a hypoallergenic\xa0and pH neutral formula thats ophthalmologist, dermatologist and paediatrician tested too. Our Baby Bar replenishes babys skin with essential nutrients lost during bathing. With a pH neutral formula and enriched with our 1/4 moisturising cream, our baby bar keeps your babys skin feeling extra soft and helps prevent the dryness that other ordinary baby soap bars can cause. And with a delicate fragrance, you can simply just enjoy those special bath time moments with your little one, safe in the knowledge that your giving your little ones skin the care it deserves. Ordinary soap-based bars without skin-essential nutrients.\xa0Buy Now!\r\n\r\n\r\n Dove Baby Bar Rich Moisture 75 g (Pack of 3)\r\n\r\nFeatures and Benefits:\r\n\r\n• Baby Dove Baby Bar Rich Moisture has a hypoallergenic\xa0 formula\r\n• Ophthalmologist, dermatologist and paediatrician tested \xa0\r\n• Gentler and more nourishing than any baby soap bar\r\n• Our pH-neutral formula with 1/4 moisturizing cream leaves babys skin soft\r\n• Fragrance developed for babys delicate skin\r\n• Suitable for daily use, even for your new-born']"
 Ceregrow - Multigrain Cereal With Milk & Fruits,Nestle ,From 2-5 Years,Rs 249.28,"['Nestle CEREGROW is a nutrient dense cereal for Toddlers with the goodness of multigrains, milk and 5 fruits. Our cereal is especially made for your little one; free from any preservatives or added flavours. Ceregrow is packed with age appropriate 17 vitamins & minerals including Iron, Vitamin A, C, D, Calcium etc. Iron helps in regular cognitive development and Vitamin A, C, and D, and Calcium support growth and development. This nutritious kid’s breakfast cereal is ideal for kids from 2 to 5 year old since it offers them dense nutrition for their small tummies. Recommended Serving: Serve 1 bowl a day.\xa0Storage: Store in a cool, dry, and hygienic place. After opening, use the contents within 3 weeks or the best before date, whichever is earlier.\xa0Important Notice: Use prepared product within half an hour otherwise microbial deterioration may set in. The scoop provided in this pack should be thoroughly washed and dried before use. A nutrient-dense toddler cereal with the goodness of multigrain, milk and fruits for 2-5 year olds Rich in Iron for regular cognitive development Kids food containing Protein and 17 vitamins minerals incl. Vitamin A, C, D, and Calcium that helps in Growth & Development Free from preservatives and flavours, especially made for your little one Bag-in-Box format ensures enhanced safety, hygiene and convenience.']"
 Xtra Large New Monthly Box - 112 Diaper Pants,Pampers ,112 pcs,Rs 2089.05,"['Pampers baby diaper pants are the only pants in India with new air channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks the wetness away for up to 12 hours of dryness. The new and improved product design enables a comfortable fit, closer to the babys body. A flexible waistband that adapts to the babys movements for a comfortable fit. Baby lotion with aloe vera helps protect your babys delicate skin from diaper rash and irritation. A top layer with the cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics; fun designs and characters to enjoy with your baby.']"
 Cerelac Fortified Baby Cereal With Milk,Nestle ,Multigrain Dal Veg - From 12 Months,Rs 252,"['Nestle Cerelac Fortified Baby Cereal with Milk, Multigrain Dal Veg is a complementary food for babies from 12 months onwards. While infants and children have higher requirements of nutrients than adults, 2 serves of Cerelac Multigrain Dal Veg Cereal provides 55% of a baby’s daily need of iron. Also a source of 17 important nutrients including vitamins and minerals, Cerelac Multigrain Dal Veg Cereal is free from added colours, flavours and preservatives.Nestle develops infant nutrition products backed by evolving science and research. Innovation has been at the heart of Nestle since its beginning.\xa0Important Notice: Mother’s milk is best for your baby.\xa0Safety Warnings: Infant food shall be introduced only (after the age of 6 months up to the age of two years). Infant food should be used only on the advice of a health worker as to the need for its use and the proper method of its use. Infant food is not the sole source of nourishment for an infant. Use prepared feed within half an hour otherwise microbial deterioration may set in. Discard unused feed.']"
 Nestle Nan Pro 4 Follow-up Formula Powder - After 18 months,Nestle ,Stage 4,Rs 575,"['Nestle NAN PRO 4 is a spray dried Follow-up formula for older infants from 18 to 24 months when they are not breastfed. NAN Pro 4 contains DHA that supports baby’s normal brain development. It also contains Vitamin A, C, D, calcium, zinc and iron. Nestle develops infant nutrition products backed by evolving science and research.Innovation has been at the heart of Nestle since its beginning.\xa0Optimal Preparation: Careful and hygienic preparation of infant milk substitute is most essential for health.\xa0Important Notice: Nestle agrees with the World Health Organization and other leading medical and health associations that breast milk is the best and most natural food for babies.']"
Fabric Conditioner - For Baby,Comfort,Pure,Rs 60,"['Do you know that your babys skin is 30% thinner than yours? \r\nHence, everything which touches your babys delicate skin should be soft, especially its clothes. Presenting New Comfort, Pure After Wash Fabric Conditioner, which provides unbeatable softness for your babys clothes! Its dermatologically tested formula is specially designed to be safe and soft on your babys skin, leaving your babys clothes feeling soft and 99. 9% bacteria-free. \r\nRepeated washing with only detergents makes clothes lose their softness and their fibers become rough, which is not suitable for your babys skin. Comfort Pure coats each fiber of your babys clothes in unbeatable softness. It has no dyes and leaves clothes with a mild fragrance. Wrap your baby in the unbeatable softness of Comfort Pure!']"
