Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Antiseptic Disinfectant Liquid - For First Aid,Dettol,Surface Cleaning,Rs 321.66,"['A house is not a home without a bottle of iconic Dettol Antiseptic Liquid. This versatile and trusted Dettol product provides all-round family protection against germs and has been recommended by medical professionals for generations.\xa0Use Dettol Antiseptic Disinfectant Liquid to kill germs on the skin, help protect against infection from cuts, scratches and it can also be used as a household disinfectant on surfaces or in the laundry. It provides expert protection against harmful bacteria with a unique sanitizing formula and takes care of you and your family from harmful germs. It is also known to be safe for use on skin.']"
Pure & Gentle Shower Gel,Pears,250 ml (Free Loofah),Rs 135,"['Try the new pears pure and gentle body wash, crafted with 98% pure glycerin and natural oils. It is a pure and gentle cleanser for your body that leaves your skin feeling soft, smooth and moisturised. Pears body wash is mild and gentle and cleanses your skin thoroughly. It is 100% soap-free and dermatologically tested. It helps moisturise your skin so that it does not dry. With natural oils, it is a gentle cleanser for your body.\xa0Established in 1807, Pears is an iconic brand of Unilever. It has a heritage of over 200 years in making pure and gentle products. Pears is a registered trademark.']"
Purifying Neem Face Wash,Himalaya,150 ml,Rs 151.90,"['Himalaya Purifying Neem Face Wash is a soap-free, herbal formulation that cleans impurities and helps clear pimples. It improves general skin health and immunity, combating bacterial infections such as acne, boils, and ulcers.\xa0It helps to even out your skin tone and colour, making it an excellent ingredient in a face wash. It also helps to retain the skin elasticity, making it supple. And also has strong anti-inflammatory properties, which soothe your skin.']"
Soft & Fresh Soap Bar,Pears,2x75 g Multipack,Rs 82,"['Pears Soft & Fresh Soap is a multi-purpose soap that cleans your skin and keeps it supple all the time. True to its name, the soap gives you a soft and fresh skin instantly.Its active ingredients moisturize your skin from deep within and keeps it looking clean and the pure glycerin and mint extracts give it an instant cool freshness. Give yourself a refreshing shower every day, buy the Pears Soft & Fresh Soap Bar, right here!  For Beauty tips, tricks & more visit https://bigbasket.blog/']"
Soap - Neem & Turmeric,Himalaya,6x125 g Multipack,Rs 237.60,"['Himalayas Neem & Turmeric Soap blends together all the goodness of naturally derived ingredients to keep your skin protected at all times. The oils of Neem and Turmeric, which contain antibacterial and antifungal properties, protect your skin from harsh environmental conditions.For Beauty tips, tricks & more visit https://bigbasket.blog/']"
 Sanitary Pads - Choice Wings Regular,Whisper ,20 pcs,Rs 85,"['Whisper Choice Sanitary Pads helps you get upto 100% stain protection. This revolutionary pad has wings which keep the pad in place. Dont worry about stains and be unstoppable. Kadam Badhaye Jaa.  For Beauty tips, tricks & more visit\xa0https://bigbasket.blog/']"
Skincare Hand Wash Liquid Pump,Dettol,200 ml Pump,Rs 99,"[""Dettol is one of the world's most trusted antiseptic protection brand which gives you 99.99% protection against disease-causing bacteria, germs and viruses. Their liquid handwash protects you from 100 illness-causing germs. This multi-purpose liquid is ideal for personal and home hygiene. It provides expert protection against harmful bacteria with a unique sanitizing formula and takes care of you and your family from harmful germs. It is also known to be safe for use on skin.Use Dettol Liquid Handwash to protect transference of germs from your hands.Dermatologically tested. Provides 10 times better protection vs ordinary handwash soaps.With original Dettol protection, helps keep hands hygienically clean and refreshed.Recommended by the Indian Medical Association.""]"
Deodorant Roll On - Whitening Smooth Skin,Nivea,50 ml Can,Rs 148,"['Nivea Smooth Skin roll-on gives you even-toned and smoother underarms. It contains Avocado extracts which smoothen the skin. Also, it gives reliable daylong odour protection.For Beauty tips, tricks & more visit https://bigbasket.blog/']"
Toothbrush - ZigZag,Colgate,Soft Bristles,Rs 60,['Colgate Zig Zag comes with multi-angle zig zag bristles designed to reach deep between teeth to effectively remove plaque. The end rounded medium bristles feel gentle on teeth and gums. This brush has a soft tongue cleaner which gently removes odor causing germs to freshen breath. The rubber cushioned handle provides comfortable grip & superior brushing control. Its flexible neck reduces pressure on gums and massages them for a comfortable cleaning experience. Colgate is the No. 1 toothbrush brand recommended by dentists.']
Shower Gel - Aroma,Palmolive,Absolute Relax,Rs 380,"['Palmolive Aroma Absolute Relax Shower Gel offers a relaxing reverie of aroma under the shower. From enchanting the senses with its pleasant aroma to cleansing, Palmolive shower gels have whatever you are looking for to relax and unwind.\r\nContaining a perfect blend of exotic Ylang Ylang essential oil and Iris extracts, it provides you the essence of a blissful shower moment. Immerse yourself in the soothing fragrance of this relaxing Palmolive body wash that helps unviel the new you with every blissful shower moment.']"
