Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Atta - Whole Wheat,Aashirvaad,5 kg Pouch,Rs 265,"['Aashirvaad Whole Wheat Atta has 0% maida and 100% atta. This means you serve soft, fluffy rotis and a whole lot of health and happiness.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/']"
Popular Sugar,bb Popular,5 kg,Rs 240,"['Sugar is made from Sugarcane, the grains are light cream coloured. It is a healthier option as opposed to refined sugar that is pure white in color. It is a great source of energy and has essential minerals without harsh chemicals or additives. It is uniformly crystallized and blends well with all other food ingredients and makes your sweet dish more tastier.']"
Royal Raw Rice - Sona Masoori,bb Royal,10 kg Bag,Rs 635,['Sona Masoori is medium-grain rice grown-up mostly in the Indian states of Andhra Pradesh and Karnataka. It is lightweight and sweet-smelling and measured to be of the finest quality. It has a distinctive taste that is not matched by rice from any other region. It is the tastiest of all the Sona Masoori rice available in the state.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/']
Royal Cumin/Jeera - Whole,bb Royal,500 g,Rs 140,"['Jeera is a strong spice and most people use it to add additional taste to their food. However, this spice is well-known not just for its flavour, but also for the wellbeing benefits of cumin seeds. It is a familiar ingredient in Indian kitchens. Apart from adding savour to a dish, it has got fitness benefits too. It is a spice which offers a sturdy, exclusive and soothing smell. It is used to offer flavour to different cuisines.']"
Pure Cow Ghee,Nandini,500 ml Pouch,Rs 245,"['Nandini Pure Ghee, made from cows milk by adopting traditional procedures and meeting stringent quality standards. A taste of purity. This Special Grade Agmark ghee is quality assured to make foods, sweet dishes, Kheers and sweets flavoursome and mouth watering.']"
Popular Toor/Arhar Dal,bb Popular,5 kg Pouch,Rs 610,['Toor Dal is processed with the most superior technology so that the original protein value is kept at its best; each grain of toor dal is the treasure of flavor of finest quality. It allows you with the dual richness of nutrition and appetizing taste for your family. It is fat free and nature contains designed it to absorb various mixtures of seasonings and spices.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/']
 Sunflower Refined Oil,Fortune ,1 L Pouch,Rs 105,"['Fortune Sunflower Oil is a light, healthy and nutritious cooking oil. Being rich in vitamins and consisting mainly of polyunsaturated fatty acids, it makes food easy to digest.']"
Popular Peanuts/Mungaphali - Raw,bb Popular,200 g Pouch,Rs 35,['BB Royal Raw Peanuts or MungaphalI Shengdana comes in a hygienic 200-g pack which makes it affordable. These raw peanuts are famous for their premium taste combining nuttiness. Raw peanuts can be easily toasted. They are highly recommended for gravies in their raw form too.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/']
Royal Organic - Tur/Toor Dal,bb Royal,1 kg,Rs 145,"['Tur Dal is one of the staple foods to add its importance in Indian cuisines. Tur dal is basically rich in Fibre, Carbohydrates, Protein, Calcium, and Fat. The flavor and the taste of Tur dal is unique and is one of the most appetizing dals. It is free from synthetic chemicals and pesticides.']"
Popular Moong Dal,bb Popular,1 kg Pouch,Rs 118,"['Moong beans is a popular food among vegetarians since it contains a lot of proteins and fiber. It is one of the easiest dals to digest and for this reason it is often given to people recovering from an illness, specially a stomach upset. It has antioxidants which is very healthy for the good functioning of the human body. It is a good balanced diet and could be included in our daily.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/']"
Popular Almond/Badam - Californian,bb Popular,Giri,Rs 830,['Almonds come in many varieties and the BB Royal California badam or almonds are premiere choice of many customers at bigbasket. The sweet and nutty taste of the almonds is combined here with hygienically packing to ensure freshness of these Californian Almonds.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/']
Royal Sooji Ordinary/Bombay Rava,bb Royal,1 kg Pouch,Rs 57,['The BB Royal Sooji or semolina is packed with health benefits. It is actually anything but ordinary because it has been sourced from the finest of durum wheat and then packaged hygenically so that it doesnt get affected by humidity.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/']
Popular Cashew/Kaju - Whole,bb Popular,100 g,Rs 120,"[""Cashew nuts are kidney-shaped, delicately sweet and crunchy seeds that are found at the bottom of the cashew apple. They have a buttery, sweet and salty taste which makes it almost everyone's favourite dry fruit. The nut is also a good source of vitamins, minerals and antioxidants. They are readily available and can serve as an instant snack when hunger strikes. Cashew nuts are used widely in the kitchen, both in savoury and sweet dishes.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/""]"
