Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Onion,Fresho,1 kg,Rs 35,"['Onion is a vegetable which is almost like a staple in Indian food. This is also known to be one of the essential ingredients of raw salads. They come in different colours like white, red or yellow and are quite in demand in cold salads and hot soups. You can dice, slice or cut it in rings and put it in burgers and sandwiches. Onions emit a sharp flavour and fragrance once they are fried; it is due to the sulphur compound in the vegetable.']"
Potato,Fresho,1 kg,Rs 40,"['Fresho Potatoes are nutrient-dense, non-fattening and have reasonable amount of calories. Include them in your regular meals so that the body receives a good supply of carbohydrates, dietary fibers and essential minerals such as copper, magnesium, and iron. In India, potatoes are probably the second-most consumed vegetables after onions. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/']"
Potato Onion Tomato 1 kg Each,Fresho,Combo 3 Items,Rs 100,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\n Click here for delicious vegetable recipes -  https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/']"
Cauliflower,Fresho,1 pc approx. 400 to 600 gm,Rs 26,"['Cauliflower is made up of tightly bound clusters of soft, crumbly, sweet cauliflower florets that form a dense head. Resembling a classic tree, the florets are attached to a central edible white trunk which is firm and tender. https://www.bigbasket.com/cookbook/recipes/2144/cauliflower-cheese-pancakes/']"
Ladies Finger,Fresho,250 g,Rs 10,"['Ladies finger is a green vegetable with a tip at the end and a lighter green head, which is inedibe and to be thrown away. It tastes mild and slightly grassy.\nDo not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2136/cheesy-okra-bhindi-fritters/']"
Palak,Fresho,100 g,Rs 7,"['With a sweet, nutty and tangent flavour, Palaks are green leafy vegetables that are succulent and spoon shaped.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2235/green-detox-smoothie/']"
Tomato - Hybrid,Fresho,500 g,Rs 13,"['Tomato Hybrids are high-quality fruits compared to desi, local tomatoes. They contain numerous edible seeds and are red in colour due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1465/cheesy-tomato-disks/']"
Carrot - Local,Fresho,250 g,Rs 11.50,"['A popular sweet-tasting root vegetable, Carrots are narrow and cone shaped. They have thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above the ground. While these greens are fresh tasting and slightly bitter, the carrot roots are crunchy textured with a sweet and minty aromatic taste. Fresho brings you the flavour and richness of the finest crispy and juicy carrots that are locally grown and the best of the region.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/912/carrot-halwa/']"
Banana - Yelakki,Fresho,500 g,Rs 36,"['Fresh, tiny small sized, directly procured from the farm, this variety is called Yelakki in Bangalore and Elaichi in Mumbai. Despite its small size, they are naturally flavoured, aromatic and sweeter compared to regular bananas. Yelakki bananas are around 3- 4 inches long, and contain a thinner skin and better shelf life than Robusta bananas.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/573/banana-pancake/']"
Tomato - Local,Fresho,1 kg,Rs 20,"['Local tomatoes are partly sour and partly sweet and contain many seeds inside which are edible. The red colour present in tomatoes is due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-\nhttps://www.bigbasket.com/cookbook/recipes/935/tomato-chutney-for-dosa-and-idly/']"
Tender Coconut - Medium,Fresho,1 pc,Rs 38,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\nYoung, fresh and healthy tender coconuts are a pure, tasty and nutritious energy drink that keeps body hydrated round the clock. Tender coconut is the most refreshing drink and best to quench your thirst in the summer.Tender coconut has antioxidant properties which help to protect the body from free radicals. It helps to lower blood pressure level, prevent kidney stone, and support heart health.Do not forget to check out our delicious recipe-\xa0https://www.bigbasket.com/cookbook/recipes/897/tender-coconut-souffle/']"
Capsicum - Green,Fresho,500 g,Rs 15,"['Leaving a moderately pungent taste on the tongue, Green capsicums, also known as green peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with a fleshy texture inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2031/capsicum-cheese-rings/']"
Pomegranate,Fresho,4 pcs (approx. 800 to 880 g),Rs 175,"['With ruby color and an intense floral, sweet-tart flavor, the pomegranate delivers both taste and beauty. You can remove the skin and the membranes to get at the delicious fruit with nutty seeds. Fresho Pomegranates are finely sorted and graded to deliver the best tasting pomegranates to you.  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1229/pomegranate-cooler/']"
Mushrooms - Button,Fresho,200 g,Rs 49,['Buttom mushrooms are very small sized mushrooms with smooth round caps and short stems. They have a mild flavour with a good texture that becomes more fragrant and meaty when cooked. Do not forget to check out our delicious recipe-\nhttps://www.bigbasket.com/cookbook/recipes/2061/stuffed-mushrooms/']
Tomato - Local,Fresho,Organically Grown,Rs 14,"['Fresho brings to you an exquisite range of locally grown organic tomatoes, which are now available at bigbasket. These organic tomatoes are free from harmful pesticides and insecticides and thus have a very natural and tangy taste, which is attributed to its healthy soil growth. The ripe and firm tomatoes are a luscious addition to any meal.']"
Banana - Robusta,Fresho,1 kg,Rs 32,"['Relish the soft, buttery texture of Robusta bananas that are light green and have a great fragrance and taste. The stalks of Robustas are thick and rigid. Fresh fruits are green, which revolve to a bright yellow on ripening and the flesh contains a white - ceramic colour. Fresho Robusta is fine quality, sweet flavoured, mushy and soft bananas.  Do not forget to check our delicious fruit recipes - https://www.bigbasket.com/cookbook/recipes/1781/banana-smoothie/']"
Orange - Nagpur,Fresho,Regular,Rs 75,"['Freshly picked directly from Nagpur farms, Fresho Nagpur oranges are sweet and bursting with juice. These are simple to peel and section. Treat your taste buds with this mouth watering fruit that is sweet and has a distinctive flavour. \r\n Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2315/mango-orange-and-mint-smoothie/ As Season for Oranges is coming to an end,You may find some quality Issue.Our Quality teams are putting their efforst to give you the best of the available lot. If you still encounter any quality challenges, please do let us and we will give the necessary credit']"
Grapes - Sonaka Seedless,Fresho,500 g,Rs 40,"['Juicy and snappy, with a beautiful balance of sweet and tart flavour, these grape bunches have a lingering taste.  Do not tire yourselves searching for an unspoiled fruit, we have hand picked and finely packed fresho green seedless grapes which are just a few clicks away.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2251/fruit-punch/']"
Cucumber,Fresho,1 kg,Rs 29,"['With high water content and crunchy flesh, Cucumbers have striped, light to dark green coloured skin that is edible.\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2340/cucumber-lemonade/']"
Broccoli,Fresho,500 g,Rs 50,"['With a shape resembling that of a cauliflower, Brocollis have clusters of small, tight flower heads. These heads turn bright green on cooking and tastes slightly bitter.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1695/broccoli-masala/']"
Methi,Fresho,100 g,Rs 12,['Methi leaves are a very popular ingredient in Indian dishes that has a bitter taste and strong aroma. Do not forget to check out our delicious recipe-\r\nhttps://www.bigbasket.com/cookbook/recipes/1749/rice-methi-pakoda/']
Cabbage,Fresho,1 pc approx. 500 to 800 gm,Rs 16,"['With a texture of crispness and juiciness the moment you take the first bite, cabbages are sweet and grassy flavoured with dense and smooth leafy layers.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/710/cabbage-chowder/']"
Beans - Haricot,Fresho,500 g,Rs 55,"['Haricot beans are small, oval, plump and creamy-white with a mild flavour and a smooth, buttery texture.']"
Coconut - Medium,Fresho,1 pc,Rs 29,"['Coconut is a very stable fruit. It is a mature fruit of the cocos nucifera palm. The fruit is nearly spherical to oval in shape and measure between 5-10 inches in width. Its rough external husk is light green, and turns gray as the nut grown-up. The husk is about 1-2 inches in thickness and made of tough fibers.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/']"
Watermelon  - Small,Fresho,1 pc 1.7 - 2.5 kg,Rs 35,"['With greenish black to smooth dark green surface, Fresho watermelons are globular in shape and are freshly picked for you directly from our farmers The juicy, sweet and grainy textured flesh is filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these watermelons are pink to red with dark brown/black seeds.\n Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/']"
Bottle Gourd,Fresho,1 kg,Rs 29,"[""With the common household name 'Lauki', Bottle gourds come in different shapes and sizes. Considered as one of the healthiest vegetables around, the flesh of bottle gourds are full of water and taste slightly bitter.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/210/bharwa-lauki/""]"
Onion - Organically Grown,Fresho,1 kg,Rs 40,"['It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Beetroot,Fresho,500 g,Rs 20,['These edible ruby red roots are smooth and bulbous and have the highest sugar content than any other vegetable.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1439/healthy-chukandar-beetroot-laddu/']
Apple - Shimla,Fresho,4 pcs (Approx. 500g-  650g),Rs 119,"['Considered as most commonly grown apples in India, Shimla apples have a light red skin, juicy and crunchy flesh. We source the best apples with residue and wax free peel from the trusted growers.  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/701/apple-crisp-bites/']"
Apple - Red Delicious,Fresho,Regular,Rs 129,"['The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet. Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/241/apple-halwa/']"
Ridge Gourd,Fresho,1 kg,Rs 49,['Ridge Gourds are long vegetables with a ridged dark green skin and white spongy flesh that contains numerous seeds inside. They are rich in fiber and very prominent in Indian cooking. \nDo not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1347/narkel-diye-jhinge-ridge-gourd-subzi-with-coconut/']
Brinjal - Bottle Shape,Fresho,500 g,Rs 20,['Deep purple and oval shaped bottle brinjals are glossy skinned vegetables with a white and have a soft flesh. \r\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/133/baingan-bharta/']
Cucumber - English,Fresho,500 g,Rs 15,"['English cucumber is a variety of seedless cucumber that is longer and slimmer than other varieties and have a higher water content. They do not have a layer of wax on them, and the skin is tender when ripe.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2231/cucumber-lemon-detox-water/']"
Radish - White,Fresho,500 g,Rs 16,"['Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. \nDo not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/']"
Sweet Corn,Fresho,2 pcs,Rs 25,"['Wrapped in lime coloured husks with silk, sweet corn contains numerous yellow succulent kernels that have a starchy and doughy consistency. The skin pops out as you bite into it. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/132/sweet-corn-soup/']"
Guava,Fresho,500 g,Rs 20,['Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/802/fruit-salad-trifle/']
Kiwi - Green,Fresho,3 pcs,Rs 69,[' Also try this simple method to ripen and enjoy your juicy kiwi fruit.']
Cabbage 1 pc + Cauliflower 1 + Ridge Gourd 500 g + Bottle Gourd 1 kg,Fresho,Combo 4 Items,Rs 97,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\nWith a texture of crispness and juiciness the moment you take the first bite, cabbages are sweet and grassy flavoured with dense and smooth leafy layers.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/710/cabbage-chowder/\xa0Cauliflower is made up of tightly bound clusters of soft, crumbly, sweet cauliflower florets that form a dense head. Resembling a classic tree, the florets are attached to a central edible white trunk which is firm and tender. https://www.bigbasket.com/cookbook/recipes/2144/cauliflower-cheese-pancakes/\xa0Ridge Gourds are long vegetables with a ridged dark green skin and white spongy flesh that contains numerous seeds inside. They are rich in fibre and very prominent in Indian cooking.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1347/narkel-diye-jhinge-ridge-gourd-subzi-with-coconut/\xa0With the common household name \'Lauki\', Bottle gourds come in different shapes and sizes. Considered as one of the healthiest vegetables around, the flesh of bottle gourds are full of water and taste slightly bitter.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/210/bharwa-lauki/']"
Bitter Gourd,Fresho,250 g,Rs 11.50,"['The most bitter among all fruits, bitter gourds come with a rough, bumpy and green skin. The off-white translucent flesh tastes crispy with the combination of the bitter seeds that are present inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/129/masala-bharwan-karela/']"
Apple - Royal Gala,Fresho,Regular,Rs 159,"['A combination of slightly tart tasting skin and honey floral tasting flesh, the Royal Gala apples, as the name suggests looks regal with beautiful golden coloured streaks.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1611/apple-crumble-pie/']"
Spring Onion,Fresho,100 g,Rs 13,"['Spring onions come with a crisp texture and sweet flavour. They are moist with thin, white flesh and a green stem. The green stems are hollow, bitter and pungent. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/211/chinese-fried-rice/']"
