Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Ragi Sticks - Achari Masala,GoodDiet,30 g,Rs 15,"['Sit back and enjoy a completely baked, non-fried \r\r\nbite from bb GoodDiet. Here, nutrition rich ragi \r\r\nand spicy achari masala flavour come together to \r\r\nturn your snacking into a tasty and crunchy \r\r\ndelight.']"
 Greek Yogurt - Natural,Epigamia ,90 g,Rs 45,['Low Fat and High protein delicious and thick Greek Yogurt.']
Peanut Chocolate Bar,Snickers,50 g Pouch,Rs 40,"['Add some peanut power to your day with a Snickers Chocolate Bar. Made with real crunchy peanuts and milk chocolate, this peanut candy perfectly satisfies your taste buds and helps you fuel up during a busy day. Serving as an energy bar, Snickers keeps hunger away, so you can rather concentrate on what matters.\nSnickers bar also contains nougat and caramel to add to its delicious and wholesome taste, creating a flavour that’s enough to rock your taste buds and power up your mind! Reach out for a Snickers hunger bar to tackle snack time at school, re-energise between a work meeting or in the car to do away with boredom. Do not let hunger change you, have a Snickers!']"
Gone Mad Crackers - Cheese & Sugar,Gery Gone Mad,110 g,Rs 54,"['These cheese biscuits by Gone Mad has French cheese on one side, sugar on the other side and a yummy crispy cracker in the middle. Bite into this crunchy and delightful Sugar Cheese Cracker and let the yummy French cheese transport you to the by lanes of Paris.']"
 Greek Yogurt - Alphonso Mango,Epigamia ,90 g,Rs 45,['Low Fat and High protein delicious and thick Greek Yogurt.']
Pressery 100% Natural Cold Pressed Juice - Valencia Orange,Raw Pressery,2x1 L Multipack,Rs 560,"[""Good things come in small packages; you loved our Valencia so we had to make it bigger. Get a sunshine start to your day with freshly squeezed Valencia oranges, loaded with dietary fibres and vitamin C. It's the best orange juice you ever had! This bottle helps you to boost your immunity, protects skin, improves bowel movement.""]"
 Greek Yogurt - Strawberry,Epigamia ,90 g,Rs 45,['Low Fat and High protein delicious and thick Greek Yogurt.']
 Greek Yogurt - Natural,Epigamia ,Low Fat,Rs 180,"['Epigama in Ancient Greek meant a way to Formalize the relationship between different nations, Thus with this cup of Greek Yogurt we applaud the marriage of a healthy lifestyle with delicious taste using only natural ingredients, No Prevervatives or artificial Flavours, Dont waste a Second.']"
Hazelnut Spread With Cocoa,Nutella,290 g Jar,Rs 339,"['Make your breakfast interesting with Nutella- hazelnut spread with cocoa. Packed with the richness of selected hazelnuts and delicious cocoa, it is the most trusted breakfast spread brand across the world. Nutella can be easily spread over bread, roti, dosa or idli and variety of other breakfast dishes. It is 100% vegetarian and contains no preservatives. Its unique flavour will leave you asking for more. So have a happy start to your mornings with Nutella- hazelnut spread with cocoa.']"
 Misti Doi - Artisanal,Epigamia ,85 g,Rs 30,"['The first of its kind in India, Epigamia Artisanal Mishti Doi is lactose-free and is especially crafted to improve gut health, ease digestion and boost immunity. It has no added preservatives. Mishti doi is a fermented sweet doi from the Indian subcontinent and it is common in the states of West Bengal in India, and in Bangladesh. It is made with milk and sugar/jaggery.']"
Quinoa Puffs - Spicy Garlic,GoodDiet,30 g,Rs 15,"['Sit back and enjoy a completely baked, non-fried bite from bb GoodDiet. Filled with the super nutritious quinoa and topped with a super delicious spicy garlic flavour, this pack will surely turn your snacking into a tasty and crunchy delight.']"
Durum Wheat Pasta - Spaghetti,BORGES,500 g Pouch,Rs 195,"['Borges spaghetti durum wheat pasta is commonly used delightful pasta which is in the form of strings. The ingredients of this pasta are 100% durum wheat semolina made of spring water and the freshest natural ingredients. It is a unique variety of wheat, which is mainly used to prepare pasta. Durum wheat is rich in proteins and nutritional values. It does not contain trans-fat and cholesterol. The absence of fat and cholesterol makes Borges spaghetti durum wheat pasta product popular among the people suffering from diabetics, blood pressure and obese problems.']"
Classic - White Chocolate Crispies,Lindberg,100 g,Rs 149,"['These caramelised crisps dipped in creamy and smooth white chocolate are the perfect match for your morning cuppa. Give in to your sweet cravings, guilt-free!']"
Granola - Quinoa & Amaranth Cranberry,GoodDiet,Gluten free,Rs 249,"['Good Diet Granolas are subtle and naturally sweetened with honey and toasted to perfection. They are suitable for every age group in the family. The power-packed ingredients and varied flavours on the granola acts as a good booster to start your day healthy. It is made with the goodness of pecans, almonds and nutritious seeds. It is dairy-free, gluten-free and naturally sweetened. It does not contain eggs or added preservatives. It is a good source of plant protein and fibre. It has no cholesterol and trans fat.']"
Signature Dry Fruit - Papaya,Fresho Signature,Dehydrated,Rs 49,"['Fresho Signature Candied Dry Fruits are a delicious snack that comes in 13 delectable variants. These can also be used in preparing yummy cakes, cookies and muffins or used as a topping on desserts like custards and ice creams. You can also add them to your breakfast cereals to make them delightful. Dry Fruits can be used as a major ingredient for making traditional Indian sweets. These are candied with sulfur-less sugar and liquid glucose. Fresho Signature Candied Dry Fruits are a rich source of anti-oxidants and nutrients, no artificial color, flavor or preservative is added to any of the products, thereby making them 100% natural and healthy for consumption.']"
20g Protein Bar - Coconut,GoodDiet,65 g,Rs 99,"['Bigbasket brings you the Gooddiet Protein Bars. Each 65g bar gives you essential 20g protein which you need to complete the sport session of yours. The bar is rich in fibres and essential carbs, that makes it the complete workout solution.\xa0Each bar contains premium quality USDA certified whey protein isolate, milk protein, berries/nuts, almond butter and honey. The bar has no added preservatives and has no refined sugar.']"
20g Protein Bar - Kesar Almond Fudge,GoodDiet,65 g,Rs 99,"['Bigbasket brings you the Gooddiet Protein Bars. Each 65g bar gives you essential 20g protein which you need to complete the sport session of yours. The bar is rich in fibres and essential carbs, that makes it the complete workout solution.\xa0ach bar contains premium quality USDA certified whey protein isolate, milk protein, berries/nuts, almond butter and honey. The bar has no added preservatives and has no refined sugar.']"
Classic Continental Mixture -Â Cheese,GoodDiet,100 g,Rs 79,"['The Classic Continental Mixture contains Peanuts, Bajra, Green Gram (moong) and Wheat flakes as the main ingredients. This is a tasty and healthy mix which is rich in protein, fibre and rich in antioxidants. Say goodbye to chips and other fat-rich snacks and switch to better snack. Munch on this, whenever you want and say goodbye to all your small hunger pangs. This healthy and tasty snack can be enjoyed everywhere and anywhere.']"
20g Protein Bar - Double Chocolate Caramel,GoodDiet,65 g,Rs 99,"['Bigbasket brings you the Gooddiet Protein Bars. Each 65g bar gives you essential 20g protein which you need to complete the sport session of yours. The bar is rich in fibres and essential carbs, that makes it the complete workout solution.\xa0Each bar contains premium quality USDA certified whey protein isolate, milk protein, berries/nuts, almond butter and honey. The bar has no added preservatives and has no refined sugar.']"
Chana Dal Split - Red,GoodDiet,150 g,Rs 89,['Bb GoodDiet Chana dal split- Red is made of Bengal gram (chana) which is a protein-rich supplement. Regular consumption of Bengal gram helps in lowering the cholesterol level in the bloodstream. Chana is also good for diabetic patients as it has a low glycaemic index. Get served with good health with Bb GoodDiet chana dal split-Red.\xa0Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier & healthier you.']
Snacks - Roasted Quinoa Puff Tangy Margherita,GoodDiet,70 g,Rs 79,['All that is tasty might not be healthy. But some which are healthy can also be tasty. Take for instance Bb GoodDiet Quinoa Puff Tangy Margherita. Crunchy whole roasted puffs with a touch of tomato seasoning give health an all-new twist. Its that food that you would want to have on your table for sure.']
White Quinoa Flour,GoodDiet,250 g,Rs 165,"['Love to bake? Afraid of the carbohydrates? The sweet, nutty flavour of quinoa flour makes baked foods healthier and tastier. It is light, airy, and easy to work with. Its nutritional value makes it the perfect healthy substitute in all your baking recipes. Quinoa flour is made of ground quinoa grains and is completely gluten-free. Add a gourmet touch to all your homemade baked treats with this white quinoa flour.']"
Cashew Brittle - With Jaggery,Lindberg,75 g,Rs 129,['Lindberg Brittles are cashew-based jaggery brittles enrobed with chocolate. A perfect mix of crunchy praline and luscious chocolate.']
20g Protein Bar - Cranberry Orange,GoodDiet,65 g,Rs 99,"['Bigbasket brings you the Gooddiet Protein Bars. Each 65g bar gives you essential 20g protein which you need to complete the sport session of yours. The bar is rich in fibres and essential carbs, that make it the complete workout solution . Each bar contains premium quality USDA certified whey protein isolate, milk protein,  berries/nuts, almond butter and honey. The bar has no added preservatives and has no refined sugar.']"
Chia Seeds - White,GoodDiet,150 g,Rs 149,"['If you are looking for a way to incorporate more nutrients into your diet, Chia seeds are the way to go. The seeds are soaked and then used as an ingredient for a healthy diet around the world. They can be added to practically anything- pastries, salads, sandwiches, or even smoothies. These are a great source of dietary fibre too. Make a simple chia seed pudding for an energy-packed dessert or mix it into your daily meals for a healthy shortcut to your essential nutrients and protein.']"
Ancient Red Rice,GoodDiet,500 g,Rs 159,"['All the benefits of multivitamin, in a bowl of red rice. This superfood is nutrient dense with 20 percent of the daily values for magnesium, phosphorus, and high levels of antioxidants. Its pleasant earthy flavour turns your average meal to a gourmet delight, with the added value of being a preventive measure for cardiovascular diseases, cancer, and diabetes.']"
Peanut Brittle - With Jaggery,Lindberg,75 g,Rs 99,['Lindberg Brittles are Peanut based jaggery brittles enroped with chocolate. A perfect mix of crunchy praline and luscious chocolate.']
Chef Conserve - Tropical,Happy Chef,330 g,Rs 119,"['Our version of the mixed fruit jam. Made with papaya, banana and guava. A delicious spread with the nutrition of fruits.']"
Assorted Thins- 18 Pcs,Lindberg,80 g,Rs 295,"['Lindberg Thins are carefully crafted by expert chocolatiers to bring the most luxurious Belgian chocolates in one box. The Thins box contains 3 pieces each of the 6 exquisite flavours: Pure Dark Chocolate, Pure Milk Chocolate, Mint & Chocolate, Orange & Chocolate, White Chocolate and Coffee & Chocolate. There are a total of 18 pcs of chocolate.']"
Assorted Thins- 36 Pcs,Lindberg,160 g,Rs 595,"['Lindberg Thins are carefully crafted by expert chocolatiers to bring the most luxurious Belgian chocolates in one box. The Thins box contains 6 pieces each of the 6 exquisite flavours: Pure Dark Chocolate, Pure Milk Chocolate, Mint & Chocolate, Orange & Chocolate, White Chocolate and Coffee & Chocolate. There are a total of 36 pcs of chocolate.']"
Signature Cheese - Cheddar With Chillies,Fresho Signature,Slices,Rs 568.80,"['Fresho Signature brings to you the most popular English Cheese- the Cheddar Cheese with a zingy twist of Chillies. The chillies add a hot kick to the otherwise distinctly sharp taste of the Cheddar. This will become a house favourite cheese for all your baked casseroles, pasta, sandwiches or even to melt over crispy nachos. We prepare the cheese into slices, dices and blocks as per your individual requirement so that you can indulge in the deliciousness of Cheddar, hassle-free.\xa0Store in an airtight container in below 5°C and consume within 5 days of packing.']"
Nibble Box Gudnut - Jaggery Coated Pistachios,The Nibble Box,80 g Box,Rs 395,"['Pistachios are an excellent source of Vitamin B6 which helps in maintaining healthy hair, skin, liver and eyes.  Jaggery is a blood purifier, boosts immunity, eases menstrual pain, and prevents anaemia.  Poppy seeds are good for the skin, are rich in omega 3 fatty acids, and have anti-inflammatory properties. Ceylon cinnamon helps in maintaining blood sugar levels. Black pepper is good for digestion and is also known for its anti-inflammatory properties.']"
Nibble Box Gudnut - Jaggery Coated Walnuts,The Nibble Box,80 g Box,Rs 360,"['Walnuts are a great brain-boosting, nutritious snack. Jaggery is a blood purifier, boosts immunity, eases menstrual pain, and prevents anaemia. Poppy seeds are good for the skin, are rich in omega 3 fatty acids, and have anti-inflammatory properties. Ceylon cinnamon helps in maintaining blood sugar levels. Black pepper is good for digestion and is also known for its anti-inflammatory properties.']"
Delights Caramel Waffles,Dutch Delights,10 pcs Box,Rs 990,['Original cookies from holland.Waffles packed individually in lovely delft blue design.']
Drops - Milk Chocolate,Lindberg,50 g,Rs 129,['Lindberg Nickels are miniature chocolate droplets made with rich and smooth milk chocolate to create a perfect on-the-go pack to solve all your sweet cravings.']
Olive Oil - Extra Light,BORGES,2 L Bottle,Rs 2600,"['Borges Light Flavour Olive Oil has a very soft taste allowing the flavours of other ingredients to come during. It is perfect for frying and baking, and respected by cooks who desire the healthy benefits of olive oil but not a different olive taste.']"
Extra Virgin Olive Oil,BORGES,1 L Pet Bottle,Rs 1400,"['Borges Extra Virgin olive oil is extracted by cold pressing exquisite Spanish olives. It’s intense flavour and aroma makes it perfect for salads, dressings, marinades, on toasts etc. Extra virgin olive oil has 75% MUFA & is rich in natural antioxidants which make it healthy for your heart and mind.\xa0Olive oil has strong anti-inflammatory properties, which helps in preventing heart stroke, protective against heart disease.']"
Pressery 100% Natural Cold Pressed Juice -  Sugarcane,Raw Pressery,1 L,Rs 160,"['Get energized with this refreshing cold-pressed sugarcane juice enhanced with the flavours of tangy lemon and zingy ginger, now available in 1 Ltr - for you and your family. This bottle is your natural energizer, improves digestion, promotes a healthy liver and is your go-to hydration drink.']"
Coconut Milk - UHT Classic,Kara,Imported,Rs 70,"['UHT Natural Coconut Millk, Classic, No Cholesterol, No Trans Fat, No Preservatives, No Colouring, No flavouring.']"
Chocolate Miniatures,Snickers,150 g,Rs 149,"['Add some peanut power to your day with a Snickers Chocolate Bar Miniatures. Made with real crunchy peanuts and milk chocolate, this peanut candy perfectly satisfies your taste buds and helps you fuel up during a busy day. Serving as an energy bar, Snickers keeps hunger away, so you can rather concentrate on what matters.\nSnickers bar also contains nougat and caramel to add to its delicious and wholesome taste, creating a flavour that’s enough to rock your taste buds and power up your mind! Reach out for a Snickers miniature tackle snack time at school, re-energize between a work meeting or in the car to do away with boredom. Do not let hunger change you, have a Snickers!']"
Organic Tofu - Soy Paneer,Murginns,200 g,Rs 90,"['We at Wellness Foods, manufacture dairy and non-dairy products, Fresh Cheese, Tofu, and Butter. Our tofu is 100% organic without any preservatives. Our cheese is handcrafted by an Italian cheesemaker, from milk directly procured from farmers.Murginns’ fresh and firm Organic tofu is the perfect non-dairy substitute to paneer or cottage cheese, made from organic soybeans. Tofu, also called bean curd, is a preparation made by soya milk coagulation. A good source of calcium, manganese, copper, selenium, protein, phosphorus, and rich in vitamin B1.']"
Laughing Cow Creamy Cheese Triangles,The Laughing Cow,120 g,Rs 110,"['The smoothest and tastiest cheeses are carefully blended to create the special, distinctive, deliciously soft and creamy taste that makes you smile. Recipe developed with a nutritionist, a source of 5 daily nutrients. It is a Source of 5 daily nutrients: Calcium is essential for you to grow strong bones. Vitamin D is the best friend of the bones as it helps them to absorb calcium. While Vitamin A helps maintain a healthy immune system and normal vision, Vitamin B contributes to the normal functioning of the nervous system. Protein helps in healthy growth of the body and mind.']"
 Greek Yogurt - Honey Banana,Epigamia ,90 g,Rs 45,['Low Fat and High protein delicious and thick Greek Yogurt.']
Garden  Natural Vinegar - White,American Garden ,473 ml Bottle,Rs 165,['American Garden Vinegar is natural and stands out because of its ideal taste profile. It also has antiseptic and disinfectant qualities that significantly extend its uses. American Garden Apple Cider Vinegar has also grown to become a popular choice thanks to its many health benefits and inclusion in natural remedies.']
Tofu - Soya Paneer,Briyas,200 g,Rs 79,"['We at BRIYAS, manufacture Tofu from fresh soybean curd without any preservatives. It is naturally gluten-free and low in calories. It is an important source of protein, especially. This can be enjoyed are vegans and vegetarians. It has good unsaturated fat. It contains no cholesterol and is an excellent source of iron and calcium.']"
Pumpkin Seeds,REGENCY,100 g,Rs 51,"['Buy top quality grade aaa pumpkin seed kernels at Regency spices. These pumpkin seeds are raw, unsalted, and perfect for confectionery uses. You can use for topping soups, adding to salads, bread and cereal. This is a product of Regency spices, founded in 1951 and the brand name Regency characterises the tradition of quality that is followed by the company. Regency group has a global network spread over 30 countries and gives priority to the outstanding quality of dry fruits and spices.']"
Biscotti - Double Dark Chocolate,GoodDiet,Pistachio,Rs 159,"['These are gluten-free biscottis and are minimally processed, mildly sweetened and are perfect for breakfast, as a snack or a midnight dessert. It is a healthy alternative to refined flour cookies. It does not contain gluten and is dairy-free. It is naturally sweetened, has no added preservatives or cholesterol and trans fat.']"
 Greek Yogurt - Mixed Berry,Epigamia ,No Added Sugar,Rs 70,"['Of all the things the Greeks have given us, democracy and yoghurt take the top spots. While the former is of no use when you’re hungry, a cup of Epigamia Greek yoghurt is just perfect. Epigamia was the term used for marriage between two city-states in ancient Greece. We have adopted this word to talk about our celebration of the marriage of health and taste in our products; healthy preservative-free snacks that help you find your happy balance! Our journey started with us wanting to contemporise tradition by creating innovative items that have classic ingredients with modern twists thrown in. We wanted to push boundaries to create something new but familiar. Our Greek Yogurt is\xa0an example of this. It has all the healthy goodness of homemade dahi, with the added punch of high protein and zero preservatives. Taking forward this love we have for innovation, we daresay we’ve done it again! Introducing the first No Added Sugar Greek Yogurt in India. Made with real ingredients and no preservatives, our new mixed berry flavour brings you authentic farm-to-fridge taste. Made with the freshest of blueberries, raspberries and strawberries, this thick velvety yoghurt is a lip-smacking delight. Zero preservatives, high protein, real fruit content and no added sugar make this a great snack to beat the everyday hunger pangs. Give it a try and tell us what you think!']"
 Greek Yogurt - Strawberry,Epigamia ,No Added Sugar,Rs 70,"['Of all the things the Greeks have given us, democracy and yoghurt take the top spots. While the former is of no use when you’re hungry, a cup of Epigamia Greek yoghurt is just perfect. Epigamia was the term used for marriage between two city-states in ancient Greece. We have adopted this word to talk about our celebration of the marriage of health and taste in our products; healthy preservative-free snacks that help you find your happy balance! Our journey started with us wanting to contemporise tradition by creating innovative items that have classic ingredients with modern twists thrown in. We wanted to push boundaries to create something new but familiar. Our Greek Yogurt is\xa0an example of this. It has all the healthy goodness of homemade dahi, with the added punch of high protein and zero preservatives. Taking forward this love we have for innovation, we daresay we’ve done it again! Introducing the first No Added Sugar Greek Yogurt in India. Made with real ingredients and no preservatives, this strawberry yoghurt brings together the classic pairing of strawberries and cream, with ripe strawberries and thick yoghurt creating a timeless combination. Zero preservatives, high protein, real fruit content and no added sugar make this a great snack to beat the everyday hunger pangs. Give it a try and tell us what you think!']"
Signature Amla Chatpata Dry Fruit - Dehydrated,Fresho Signature,150 g,Rs 89,['Amla is known to have several health benefits. Our range of amla candies are processed using sulphurless sugar and have a rich flavour. These are hygienically processed and packed.']
Apple Cider Vinegar - Filtered,GoodDiet,500 ml,Rs 119,['Apple Cider Vinegar is a brewed Vinegar. It is a superior alternative to synthetic Vinegar and can be used for salad dressing. Apple cider vinegar is the most popular type of vinegar which has been used in culinary and medicinal purposes for ages. It has antibacterial and antifungal properties. It also helps to lower the blood sugar and supports weight loss.']
Biscotti - Dark Chocolate & Rock Salt,GoodDiet,Gluten Free,Rs 159,"['These are gluten-free biscottis and are minimally processed, mildly sweetened and are perfect for breakfast, as a snack or a midnight dessert. It is a healthy alternative to refined flour cookies. It does not contain gluten and is dairy-free. It is naturally sweetened, has no added preservatives or cholesterol and trans fat.']"
Chef Pasta Sauce - Arrabiata With Bell Peppers,Happy Chef,270 g,Rs 119,['Traditional pasta sauce packed densely with nutrient-rich bell peppers. Great combination when used in different recipes. The bell peppers add to the tangy flavor of the sauce.']
