Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
 2-Minute Instant Noodles - Masala,MAGGI ,35 g Pouch,Rs 5,"['India’s favourite Masala Noodles, MAGGI 2-minute Noodles, now comes with the goodness of Iron. Each portion (70g) of MAGGI Masala Noodles provides you with 15% of your daily Iron requirement (*as per the Daily Dietary Allowances for an Adult Sedentary Male (ICMR 2010). Containing your favourite masala taste, MAGGI noodles are made with the finest quality spices and ingredients. Make your bowl of MAGGI even better by chopping up some vegetables, dropping in an egg or throwing in your favourite ingredients.']"
Frozen - Green Peas,Safal,200 g Pouch,Rs 45,"['This is where our Safal range of frozen vegetables comes in handy. Just get the vegetables from the freezer, put them in a kadai and your dish is prepared. Safal frozen vegetables are combination of flavor and ease. By using them-you pay for the vegetables and not for the peels.']"
Potato Chips - Indias Magic Masala,Lays,28 g,Rs 10,"['Taste the unbeatable blend of delectable Indian spices with best quality potatoes. Delicious individual bags: perfect for snacking at work, home or school.\r\n\r\nAbout the brand: Lays, the worlds largest and favourite snack food brand, has steadily established itself as an indispensable part of Indias snacking culture since its launch in 1995. With its irresistible taste, international and Indian flavours, Lays has established itself as a youth brand and continues to grow in the hearts and mind of its consumers. Lays is made with Indias best-quality fresh potatoes, simply sliced and cooked in edible vegetable oils, and then seasoned with delicious flavours!']"
Little Hearts Biscuits,Britannia,34.5 g,Rs 10,"[""Britannia's tasty Little Hearts will soften in your mouth. These heart-shaped cookies are ideal for a light snack or enjoy them with tea or coffee. These biscuits are the heart stolen one that brings flavour to our tongue as well.""]"
Idly Dosa Batter,Id,1 kg,Rs 75,"['The ID idli/dosa batter is a readymade  mix which saves your time and energy to create a dosa batter from scratch. Typically, a dosa batter involves a three-step recipe which includes soaking the rice, grinding and fermenting it. But with this readymade batter, you can make crispy dosa and fluffy soft idlis at no time at all.']"
Marie Gold Biscuits,Britannia,200 g,Rs 23,"['Britannia Biscuits - Marie Gold is balanced taste, crispiness and fluffiness along with the inserted vitamins and minerals. It is 100 % vegetarian biscuits. It is best at Tea-time. Take pleasure in the tasty crisp of each bite of it.']"
Potato Chips - Calm Cream & Onion Flavour,Lays,52 g Pouch,Rs 20,"['Relish the delectable combination of sour and cream perfectly blended with herb and onion flavour. From the everyday snack to the impromptu get-togethers, LAYS chips are the perfect addition to any occasion. Whether itsAbout the brand- Lays, the worlds largest and favourite snack food brand has steadily established itself as an indispensable part of Indias snacking culture since its launch in 1995. With its irresistible taste, international and Indian flavours, Lays has established itself as a youth brand and continues to grow in the hearts and minds of its consumers. Lays is made with Indias best-quality fresh potatoes, simply sliced and cooked in edible vegetable oils, and then seasoned with delicious flavours!']"
Gluco Biscuits - Parle-G,Parle,130 g Pouch,Rs 10,"['Parle-G is a small, rectangular flat-baked sweet biscuit. It is packed with the kindness of milk and wheat, and the G actually stands for Glucose and Genius because it is a resource of strength for body and mind.']"
Oats,Quaker,600 g Pouch,Rs 114,"['It is easy to prepare in just 3 minutes and blends into almost any recipe, enhancing its nutritional value without compromising on taste.\nAbout the brand - For over 135 years, Quaker has unlocked the power of oats to help people get the perfect start to each day.Start your morning with a wholesome bowl of Quaker Oats- the perfect breakfast porridge for the whole family.']"
Bourbon Chocolate Cream Biscuits,Britannia,60 g,Rs 10,"[""Britannia Bourbon Chocolate Cream is a delightful combination of smooth chocolate cream with crunchy chocolate biscuits topped with sparkling sugar crystals. Every bite of these delicious, chocolaty and indulgent cookies entices you for more and more. The satisfying and rich taste of chocolate enclosed in crispy, crunchy biscuits gives you a mouth-watering experience.\xa0Britannia biscuits, cookies, cakes and rusk are a perfect companion for your tea. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite brands like Good Day, Tiger, NutriChoice, Bourbon, Milk Bikis and Marie Gold.""]"
Frozen Green Peas,Fresho,1 kg Slider Zip Standy Pouch,Rs 190,"['Fresho! brings to you frozen green peas of uniform size that is peeled, sorted and packed in our state-of-the-art facilities, which help in retaining maximum freshness. With no added preservatives, chemicals and artificial colours get the best quality green peas from Fresho.\xa0Peas contain vitamin k, copper, vitamin c, phosphorus, fibre, and all the essential nutrients. It will cure heart diseases, control blood and sugar levels, and prevents cancer.']"
Oreo Biscuit - Vanilla Creme,Cadbury,3x120 g Multipack,Rs 90,"['Oreo sandwich creme biscuit brings together the rich, smooth taste of Vanilla creme filling with the bold taste of two crunchy Chocolate wafers. Take a delicious break with an Oreo cookie, the perfect anytime snack.']"
Biscuits - Gluco Gold,Parle,200 g Pouch,Rs 25,"['Filled with the goodness of milk and wheat, Parle-G has been a source of all-round nourishment for the nation since 1939.As its unique taste expanded over the globe, Parle-G was declared the world’s largest selling biscuit brand by Nielsen in 2003.']"
Namkeen - Chilli Chatka,Kurkure,21.5 g,Rs 5,"['Spice up your life with Chilli Chatka!\nAbout the brand-Kurkure is a crunchy, new-age Pack namkeen snack brand which symbolizes light-hearted fun. Embodying the spirit of India, Kurkure has found a home in millions of hearts and minds and enjoys the position of a strong brand in India.\n\nMade with trusted kitchen ingredients- 100% veg\nAll the raw materials used in Kurkure comply with The Food Safety & Standards Act & Regulations 2006 and rules that govern the manufacture, distribution and sale of Kurkure.']"
Krackjack Biscuits,Parle,200 g Pouch,Rs 30,"[""Parle Krack Jack Biscuit is a crunchy and tasty biscuit with an ideal balance of sweetness and saltiness. Once you begin relishing it, you won't be able to end. You will desire for more. Although Krackjack sweet and salty biscuits can be enjoyed anytime, it leaves wonderfully well with your evening cup of tea.""]"
Hommade Tomato Puree -  Made From 100% Ripe Tomatoes,Dabur,No Added Preservatives,Rs 25,"['Tomato Puree Prepared from the pulp of hand-picked, fresh, juicy and ripe tomatoes, Dabur Hommade tomato puree is perfect for all types of cuisines. It is free of skin and seeds and helps you add the real tangy taste of tomato to your meals just within seconds. Dabur Hommade Tomato puree is made of finest quality tomatoes sourced from Bangalore. A worthy alternative of the traditional Indian tomato puree, it is thick and consistent to add the right colour to your dishes and make them healthy and delicious.\xa0Two tablespoons of the puree is equivalent to 1 medium-sized tomato and one 200ml Pack is equivalent to 7 (appox.) medium-sized tomatoes i.e. 450g of raw tomatoes (appx.).Our Hommade range is an inspiration for seasoned cooks, experimental folks who like to try cooking and aspiring chefs-to-be. This product contains no added sugars and no added preservative. Speaking of recipes, it is great to be used in Rajma Masala, Dum Aloo, Paneer Butter Masala, Shahi Paneer, Aloo Matar, Butter Chicken Freshest ingredients always - the taste of Hommade!']"
Dairy Milk Chocolate,Cadbury Dairy Milk,23 g Pouch,Rs 20,"['Cadbury Dairy Milk Chocolate is for those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness and spontaneous fun. Rich, smooth and creamy Classic Milk Chocolate which gives you more joy in every bite.']"
 Cuppa Masala Noodles,MAGGI ,70 g,Rs 45,"['Your on-the-go noodles, Maggi Cuppa offers you the delicious taste of Maggi combined with the convenience of cup noodles! It is an ideal offering for the new generation, pressed hard for time, trying to juggle multiple roles all at once and can be enjoyed anytime on the go. Containing your favourite masala taste, Maggi Cuppa Noodles are made with the finest quality spices and ingredients. The pack comes with tastemaker already added and a fork inside, for maximum convenience, even on the go. When you are on the trail and hunger hits, grab a cuppa, add boiling water, and wait just 4 minutes for your awesome snack. In no time you will be back on track. Serve the noodles hot. Store the pack in a cool, dry and hygienic place to protect it from insects, pests and strong odours.']"
Yumm! Veggie Stix - Sour Cream & Onion,Too Yumm!,52 g,Rs 20,"['Relish these delicious and flavourful snacks, guilt free, that are seasoned with your favourite herbs and spices. Too Yumm! Veggie Stix are a combination of airpopped vegetables and multigrains that are rich in proteins. These veggie stixs are a health snacking option as they are not fried and contain natural oxidants.']"
Cup Noodles - Mazedaar Masala,Nissin,70 g,Rs 45,['Not in the mood for something bland and too lazy to step out? A balanced taste of roasted masala with curry leaf in Mazedar Masala is what you need.']
Fresh Tomato Ketchup,Kissan,500 g Bottle,Rs 99,"['This ones definitely a winner when it comes to cajoling your kids into eating their food. Its remarkable flavour comes from the 100% real juicy tomatoes that have gone in making it. Its an assured hero for all the snacks, be it samosas, pakodas, noodles or plain roti roll - a perfect ally for making wholesome and yummy food. Spread it on a crunchy cracker, roll it up in a roti roll, pour it on a samosa or noodles for your kids tiffin time with an assortment of flavours. So the next time you want to make those greens in your kids plate tolerable, turn to Kissan Tomato Ketchup, secret to empty tiffins! Started in 1934, Kissan is a popular brand in India. Kissan is more than just jams, ketchups, sauces and squashes. Its all about kids eating happily & growing up happily. Kissans tasty and natural goodness keeps both, mothers & kids happy. The brands reassurance to mothers is that they can make tiffin times fun yet wholesome with the Kissan range of products that are made with 100% natural Ingredients! The tangy red burst of tomatoes in ketchup, will give you the sensorial delight of natures goodness. Kissan Fresh Tomato Ketchup is made from 100% real tomatoes\r\n\r\nFeatures and Benefits:\r\n• Kissan sources 100% of its tomatoes from sustainable sources thereby helping create and support several local smallholder farmers livelihoods\r\n• Is easy to pour and use and can be enjoyed with every snack\r\n• Made with 100% real tomatoes\r\n• Turns a boring meal into an empty tiffin\r\n• Enjoy it best with samosas, pakodas, noodles or Roti roll for an interesting tiffin meal\r\n• Carefully sealed in impermeable glass packaging to retain the best flavour and taste of product']"
 Namkeen - Masala Kaju,Haldirams ,35 g Pouch,Rs 50,"['Haldiram Kaju Masala is prepared by using delicious masalas. It is crunchy, crispy, and delicious to eat and it is loved by all from children to elders. This masala is also suggested by doctors to women to keep them fit during pregnancy. The women love having sour and highly spiced foods.']"
Namkeen - Chilli Chatka,Kurkure,21.5 g,Rs 5,"['Spice up your life with Chilli Chatka!\nAbout the brand-Kurkure is a crunchy, new-age Pack namkeen snack brand which symbolizes light-hearted fun. Embodying the spirit of India, Kurkure has found a home in millions of hearts and minds and enjoys the position of a strong brand in India.\n\nMade with trusted kitchen ingredients- 100% veg\nAll the raw materials used in Kurkure comply with The Food Safety & Standards Act & Regulations 2006 and rules that govern the manufacture, distribution and sale of Kurkure.']"
Krackjack Biscuits,Parle,200 g Pouch,Rs 30,"[""Parle Krack Jack Biscuit is a crunchy and tasty biscuit with an ideal balance of sweetness and saltiness. Once you begin relishing it, you won't be able to end. You will desire for more. Although Krackjack sweet and salty biscuits can be enjoyed anytime, it leaves wonderfully well with your evening cup of tea.""]"
Hommade Tomato Puree -  Made From 100% Ripe Tomatoes,Dabur,No Added Preservatives,Rs 25,"['Tomato Puree Prepared from the pulp of hand-picked, fresh, juicy and ripe tomatoes, Dabur Hommade tomato puree is perfect for all types of cuisines. It is free of skin and seeds and helps you add the real tangy taste of tomato to your meals just within seconds. Dabur Hommade Tomato puree is made of finest quality tomatoes sourced from Bangalore. A worthy alternative of the traditional Indian tomato puree, it is thick and consistent to add the right colour to your dishes and make them healthy and delicious.\xa0Two tablespoons of the puree is equivalent to 1 medium-sized tomato and one 200ml Pack is equivalent to 7 (appox.) medium-sized tomatoes i.e. 450g of raw tomatoes (appx.).Our Hommade range is an inspiration for seasoned cooks, experimental folks who like to try cooking and aspiring chefs-to-be. This product contains no added sugars and no added preservative. Speaking of recipes, it is great to be used in Rajma Masala, Dum Aloo, Paneer Butter Masala, Shahi Paneer, Aloo Matar, Butter Chicken Freshest ingredients always - the taste of Hommade!']"
Dairy Milk Chocolate,Cadbury Dairy Milk,23 g Pouch,Rs 20,"['Cadbury Dairy Milk Chocolate is for those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness and spontaneous fun. Rich, smooth and creamy Classic Milk Chocolate which gives you more joy in every bite.']"
 Cuppa Masala Noodles,MAGGI ,70 g,Rs 45,"['Your on-the-go noodles, Maggi Cuppa offers you the delicious taste of Maggi combined with the convenience of cup noodles! It is an ideal offering for the new generation, pressed hard for time, trying to juggle multiple roles all at once and can be enjoyed anytime on the go. Containing your favourite masala taste, Maggi Cuppa Noodles are made with the finest quality spices and ingredients. The pack comes with tastemaker already added and a fork inside, for maximum convenience, even on the go. When you are on the trail and hunger hits, grab a cuppa, add boiling water, and wait just 4 minutes for your awesome snack. In no time you will be back on track. Serve the noodles hot. Store the pack in a cool, dry and hygienic place to protect it from insects, pests and strong odours.']"
Yumm! Veggie Stix - Sour Cream & Onion,Too Yumm!,52 g,Rs 20,"['Relish these delicious and flavourful snacks, guilt free, that are seasoned with your favourite herbs and spices. Too Yumm! Veggie Stix are a combination of airpopped vegetables and multigrains that are rich in proteins. These veggie stixs are a health snacking option as they are not fried and contain natural oxidants.']"
Cup Noodles - Mazedaar Masala,Nissin,70 g,Rs 45,['Not in the mood for something bland and too lazy to step out? A balanced taste of roasted masala with curry leaf in Mazedar Masala is what you need.']
Hide & Seek Caffe Mocha Cookies,Parle,120 g Pouch,Rs 30,"['Parle Hide and Seek Caffe Mocha biscuits are crispy, sweet and good in taste. Play a game of hide and seek with your taste buds. Feel the extremely delectable taste of Chocolates, comes in a form of choco chips, covering the entire parts of the Parle Hide & Seek Cream biscuits.']"
Boat Peanut Chikki Mithai - Family Pack,Paper Boat,16 g (Pack of 6),Rs 30,"['Paper boat chikki is a combination of peanuts and jaggery, which gives it the perfect crunchy, sweet and nutty flavour that will provide the perfect end to your meal. It is also ideal to relish as a snack or whenever you crave sweet. Delighted, wonderful & perfect.']"
3 Minute Breakfast - Poha,MTR,60 g,Rs 20,"['Make your mornings easier with MTR Poha. Enriched with crunchy peanuts and a dash of lemon, MTR Poha is available in two delectable flavours: Regular and Khatta Meetha. Easy to prepare, enjoy this delicious poha every morning with your family and friends.']"
II Microwave Popcorn - Butter Flavor,ACT II,33 g Pouch,Rs 25,"[""ACT II's Microwave Popcorn - Butter flavor has got the real aroma of microwave popcorn. It gives you the top company especially when you are watching movies, having fun with your friends and families. Buy Act II Microwave Popcorn and experience the authentic amaze of special flavors by sitting at your home with your family.""]"
Oats Plus - Multigrain Advantage,Quaker,600 g Carton,Rs 145,"['With the goodness of 4 different grains - Oats, Wheat, Ragi and Barley in one pack, Quaker Oats Plus give you the energy to do more of what you love!!\r\n The Multigrain Advantage - Oats are good for your heart + Wheat is a source of energy + Barley is rich in fibre + Ragi is a source of calcium.\r\n\r\nOne serve of Quaker Oats Plus (45g of dry product) will give you energy equal to 2 Phulkas(Rotis), Fibre equal to 1 and 1 by 4 Apples, and Protein quantity equal to 1 by 2 a cup cooked Chana Dal.\r\nQuaker Oats Plus is 92% fat-free, which may help reduce risk of heart diseases.\r\n\r\n\r\nGet your healthy breakfast every day with the benefits of multigrain in a wholesome bowl of Quaker Plus in just 3 minutes. Try it with delicious toppings of fresh or dried fruits, nuts or cinnamon.\r\n\r\nNutritional information (per 100g)- Energy - 399 Kcal, Protein - 11.1 g, Total Fat -8.0 g, Total Carbohydrate - 70.7 g, Total Dietary Fibre - 10 .0g, Iron - 3.5 mg, Magnesium - 112.5 mg, Sodium - 117.4 mg, Zinc - 2.6 mg, Calcium -46.6 mg.\r\nIngredients- Oats (60%), Wheat Flakes (18 %), Barley Flakes (15%), Ragi Flakes (5%), Sugar, Salt, Malt Extract.\r\n\r\nAbout the brand - For over 135 years, Quaker has unlocked the power of oats to help people get the perfect start to each day.']"
Cookies - Honey Oatmeal,Unibic,75 g Pouch,Rs 25,"['Enjoy the bites on the very yummy and crunchy Unibic Anzac Oatmeal Cookies enriched with the real goodness of Oats with Golden Syrup. Unibic Anzac Oatmeal Cookies are made up of using the ingredients like rolled oats, flour, desiccated coconut, sugar, butter and baking soda. With its delectable and healthy bites, sweeten up your moment filled with yumminess and happiness.']"
Papad - Urad,Lijjat,200 g Pouch,Rs 60,"['Lijjat Urad Papad is like a thin wafer which becomes a crispy snack once it is fried in oil or toasted in fire. In a typical North Indian thali, a papd is a must-have along with all the other items. Papad made from urad gives an additional zing to the regular papad. Made with quality spices and good urad dal, this is a tasty accompaniment to any meal.']"
Namkeen - Ribbon Pakoda,Townbus,35 g,Rs 10,['Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.']
Quinoa Muesli - With Nuts & Seeds,GoodDiet,30 g,Rs 19,"['Our Quinoa Muesli are packed with the goodness of quinoa with oats, seeds and nuts. They are rich in proteins and have a hint of vanilla flavour which adds to the extra crunch in your breakfast cereal. They are completely nutritious and serve as the ideal breakfast option to start your day with.']"
Good Day Butter Cookies,Britannia,38 g,Rs 5,"['Britannia Good Day Rich butter cookies will build a delicious fit in your mouth. It is wonderful with tea/coffee or on its own, it makes for a huge bite to split and spread joyfulness.']"
 Namkeen - Lemon Bhel,Haldirams ,6x57 g Multipack,Rs 60,"['Haldiram Lemon Bhel is the mixture of puffed rice with ground nuts, dry fruits, spices, and also mixtures mixed with lemon. Many people across the world loves sour taste of lemon in there dishes.']"
Choco - Pie,Lotte,168 g Pack of 6,Rs 70,"['Chocopie is a sweet treat that was introduced by Lotte in 1979. Sitting somewhere between a biscuit and candy, this sweet snack is a favourite for children as well as adults. It originated on the basis of the much older moon pie, in USA. The chocopie by Lotto is sold in various countries in in North America, Europe and Asia.']"
Green Chilly Sauce,Chings,190 g Bottle,Rs 50,['Sound the gong for the Chinese Chef! It is now no secret that Chings Secret has the best range of Chinese cooking products that help you recreate the magic of your favourite Chinese restaurant and cook up a few signature dishes for parties and guests! Chings Green Chilly Sauce is one of the products from this range.']
Oreo Creme Biscuit - Strawberry,Cadbury Oreo,120 g,Rs 30,"['Oreo sandwich creme biscuit brings together the rich smooth taste of strawberry creme filling with the bold taste of two crunchy chocolate wafers. Take a delicious break with an Oreo cookie, the perfect anytime snack.']"
Veg Mayonnaise - Eggless,FunFoods,250 g Jar,Rs 69,"['Veg Mayonnaise is an innovation that was done keeping in view that many Indians are vegetarians. Craft a variety of delicious dishes with this smooth & creamy mayo. It is widely used in making sandwiches, salads, wraps and many other exciting recipes. Veg Mayonnaise from FunFoods is rich, smooth and creamy.']"
 Namkeen - All in One,Haldirams ,350 g Pouch,Rs 80,"['Get to taste the combine of all spicy, salted mouth delight namkeens overall in a form of Haldiram All in One. Here you get to amuse your taste buds with the crispy, brittle blend of flour noodles, pulses, puffed rice, nuts, cornflakes and raisins. Take pleasure in your snack time with heart filling Haldiram All In One Snack.']"
Mad Angles - Achaari Masti,Bingo,80 g Pouch,Rs 19,"[""Bingo Mad Angles Achaari Masti brings for you the final experience of chew and fun. It is the sugary and spicy flavours that carry back memories of your granny's mango pickles. The layers of crusty khakra leave a costly taste in your mouth. A blend of innovative flavours on an established khakra base, Mad Angles is a snack that is right to taste and delivers wonderful flavour.""]"
Good Day Butter Cookies,Britannia,75 g (Get 22 g Extra),Rs 10,"['The all-time favourite, the classic butterlicious flavour of Britannia Good Day cookies only get better with time. The goodness of rich butter melts in mouth effortlessly, giving a cookie that’s loved by everyone. These crumbly cookies are the best partner when you crave munchies between meals. What’s more? It packs in more Good Day Smiles for you Store them in an airtight container and keeps enjoying this yummy indulgence.']"
Dark Soy Sauce,Chings,200 g Bottle,Rs 50,"['Chings Dark soy sauce is an essential ingredient if you want to prepare cuisine of Chinese at home. The sauce is made from a mixture of sugar, soybeans and water which is then fermented that results in this distilled liquid. The delicious sauce is made with a traditional Chinese recipe.']"
 Namkeen - Mini Bhakarwadi,Haldirams ,200 g Pouch,Rs 55,"['A bite sized treat that originally came from Maharashtra, this snack is a popular one. In the Haldirams culinary studio, it has evolved and taken on a form that appeals to a variety of palates even as it keeps its tangy, spicy and sweet character alive. The namkeen or savoury Mini Bhakarwadi is a rolled wonder that you cannot miss!']"
 Noodles - Chicken,MAGGI ,284 g Pouch,Rs 58,"[""Delightful real chicken bits and MAGGI noodles have been combined to create the new and exciting MAGGI Xtra-delicious Chicken Noodles. ortified with Iron & Calcium, the new & improved taste offers a delightful experience that'll leave you craving for more.""]"
 Nutri-Licious Masala Oats Noodles,MAGGI ,290 g (Pack of 4),Rs 93,"['Introducing the MAGGI NUTRI-LICIOUS Masala Oats Noodles with an appetizing aroma and delicious masala taste made using 20 Spices & Herbs. These masalas are roasted to perfection (Refer pack for more details) for an aroma & flavour which you will love. These MAGGI NUTRI-LICIOUS Masala Oats Noodles are a truly a good combination of delicious and nutritious Oats Flour, Colorful Vegetables & 20 Spices & Herbs. Also, loaded with the Goodness of Oats, each meal is deliciously filling. Each serve (72.5g) of the MAGGI Masala Oats Noodles is a Source of Fibre & Iron (Refer pack for more details).Making MAGGI NUTRI-LICIOUS Masala Oats Noodles is as easy as it could ever be – Simply empty the Masala Tastemaker(R) Sachet into 1 ½ teacup (225 ml) of boiling water, add the noodles cake, & stir. Cook for 3 minutes and wait for your favourite ""Surprisingly Awesome"" MAGGI Masala Oats Noodles. In just 3 minutes, now you can enjoy a balance of taste & health at any time of the day!Enjoy your MAGGI noodles (steamed, dried and fried) and consume a variety of other foods like vegetables, fruits and milk.Storage: Store in a cool, dry and hygienic place.Your favourite MAGGI noodles now loaded with the goodness of oat flour.Masala taste made using 20 Spice & herbs roasted to perfection (refer pack).A source of Iron and Fibre, MAGGI Nutri-licious Masala Oats Noodles is nutritious and delicious.Easy to cook, MAGGI Masala Oats Noodles takes just 3 minutes!']"
Digestive Biscuits,Mcvities,200 g Pack of 5,Rs 159,"['Treat yourself to a pack of McVities Digestive biscuits. Besides maida, it has the goodness of wholewheat wrapped in great taste.']"
BournVita Chocolate,Cadbury BournVita,Pro Health Vitamins,Rs 30,"['Cadbury Bournvita is a delicious chocolate health biscuit which is enriched with Vitamin (D,B2,B9,B12). It combines the great taste of chocolate, and goodness of essential nutrients that aids growth and development. Bournvita malted chocolate biscuit mix can be enjoyed piping hot or deliciously cold. Try blending Bournvita with milk and ice cream to make a chocolate milkshake that is delectable and nutritious.']"
 Bhujia Sev,Haldirams ,600 g,Rs 135,"['For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com']"
50-50 Maska Chaska Salted Biscuits,Britannia,120 g,Rs 30,"[""Britannia 50-50 Maska Chaska Salted Biscuits are prepared with the goodness of butter and peppered with the choicest of herbs. Crunchy and crispy, these biscuits have a light, savoury taste with buttery flavours. Britannia biscuits, cookies, cakes and rusk are a perfect companion for your tea. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite brands like Good Day, Tiger, NutriChoice, Bourbon, Milk Bikis and Marie Gold.""]"
Farmlite Biscuit - Cookies Oats & Almonds,Sunfeast,150 g Carton,Rs 50,"['A healthy snack is something that we all ideally want when we get hungry between meals. But we usually end up reaching out for fried or fatty food that does no good. With Sunfeast you now have a dedicated partner who will help you stock up on healthy snacks that will give you the best of all worlds especially with the Farmlite Oats and Almonds Biscuit.The Sunfeast Farmlite Oats and Almonds Biscuit contain lots of dietary fibres thanks to its wheat and oats content. Also, it is packed with iron and protein which help in better functioning of the brain as well as physical development, especially for growing children. This biscuit is also rich in magnesium.']"
 Namkeen - Punjabi Tadka,Haldirams ,50 g Pouch,Rs 10,"['EAN Code: 8904004400281  Manufactured by: Haldiram Foods International Private Ltd, 20 Km Stone, Vill. Gumthala, Bhandara Road, Nagpur - 441104 (M.S.)  Best before 09-07-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com']"
50-50 Sweet & Salty Biscuits,Britannia,200 g,Rs 30,"[""Britannia 50-50 Sweet & Salty Biscuits are prepared with the goodness of two completely distinct flavours blended together. Britannia biscuits, cookies, cakes and rusk are a perfect companion for your tea. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite brands like Good Day, Tiger, NutriChoice, Bourbon, Milk Bikis and Marie Gold.""]"
Rice Vermicelli,Anil,500 g Pouch,Rs 62.50,"['Anil Rice Sevai is a type of rice vermicelli and looks similar to Idiyappam. Rice Sevai, as the name suggests are made out of Rice. They can, however, be made using other food grains like wheat, ragi and other millets.']"
Mixed Fruit Jam,Kissan,100 g Box,Rs 20,"['All your favorite fruits come together in Kissan Mixed Fruit Jam. A medley of flavours from 8 fruits such as Banana, Papaya, Apple, Pear, Pineapple, Mango, Grape and Orange blended in to one lip smacking jam. Kissan jam is the best jam with the goodness of your favorite 8 fruits. Kissan Mixed Fruit Jam is best partnered with bread to provide yummy on the go breakfast for your kid every morning. Think of different ways to eat it in. Spread it on a crunchy cracker, roll it up in a chapatti, drink it stirred in milk or whip up a bread and Jam delight for your kids breakfast with an assortment of flavours. Started in 1934, Kissan is a popular brand in India. Kissan is more than just jams, ketchups and squashes. Its all about kids eating happily & growing up happily. Kissan Jams yummy and fruit based sweet spread keeps both, mothers & kids happy. The brands reassurance to mothers is that they can make breakfast times fun yet wholesome every morning with the Kissan range of fruit jams that are made with 100% real fruit ingredients! Remember craving something utterly sweet? This is your answer to that in a packed sweet spread bottle.\r\n\r\n Features and Benefits:\r\nKissan Mixed Fruit Jam is made with 100% real fruit ingredients\r\nIs easy to use and can be enjoyed on the go every morning\r\nEnjoy it best with Bread, Roti, Paratha or Dosa for a wholesome breakfast\r\nTurns boring breakfast into an empty plate\r\nSpreads easily with a spoon or a knife\r\nCarefully sealed in impermeable glass packaging to retain the best flavour and taste of product']"
Cookies - Fruit & Nut,Unibic,75 g Pouch,Rs 25,"['Deliciously soft & chewy, these cookies are stufffe with blackberry, cranberry, glazed fruits, cashew and almond bits that make your taste buds Go Nuts !']"
Dark Fantasy - Luxuria Choco Fills Biscuits - Cookies,Sunfeast,150 g Carton,Rs 60,"['Savour the taste of bliss as you bite into the new Sunfeast Dark Fantasy Choco Fills Luxuria. For those who desire more indulgence in every cookie, the sun-baked rich crust enrobes the luscious and smooth chocolate in a large sized cookie for a dialed up indulgence.']"
Chutney - Schezwan,Chings,250 g Jar,Rs 75,"['Chings Schezwan Chutney is a tasty condiment that can be used as a dip or spread or added to food to make it flavoursome. This amazing fusion of pungent ginger-garlic paste and red chillies, is laced with Chinese spices and Schezwan pepper. A dash of Indian spices makes this chutney spicier.']"
 Mixture - Panchratan,Haldirams ,150 g Pouch,Rs 55,"['Haldiram Panchratan Mixture is made of different ingredients which add additional flavor to the snack. It is made of mixed flavor of sour and sweet rice flakes, potato sticks and dry fruits. It contains fiber, protein, iron and calories. It is a nutrition food and mostly liked by children because it has both sweet and sour flavor in it. It contains low cholesterol and low fat. These mixtures are the best time pass snacks.']"
 Mixture,Haldirams ,350 g Pouch,Rs 65,"['Haldirams Mixture is prepared by using very well quality of ingredients like peanuts, poh, bengal gram, besan flour. It has high-quality taste. It will be supplied with tea time.']"
