Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Disinfectant Toilet Cleaner - Original,Harpic,Power Plus,Rs 486,"['Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs and viruses while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.\xa0Removes 10 times more yellowish and tough stains\xa0Strategically bent bottleneck shape helps pour the liquid into deep corners under the toilet rim.A thick liquid which clings and cleans from rim to U-bend.Available in three scents: Original, Orange and Rose. Available Sizes: 200ml, 500ml, 750 ml and 1L']"
Disinfectant Surface Cleaner - Lavender,Lizol,975 ml,Rs 179,"['Lizol is Indias No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease causing bacteria as well as germs and viruses while leaving your room smelling fragrant with a wide variety of mesmerising aromas. |  Removes 100 types of Stains & Germs. |  Use directly or diluted for regular use. Suitable for cleaning all kinds of surfaces. |  Leaves a Pleasant Fragrance. |  Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem\nAvailable Sizes: 200ml, 500ml, 975ml and 2L']"
Toilet Cleaner Power Plus - Rose,Harpic,2x1 L Multi Pack,Rs 338.40,"['Harpic Power Plus the ultimate one stop solution for all your toilet cleaning needs. A specialized All-in-one product, unlike the ordinary toilet cleaners, harpic power plus combines the benefits of tough stain remover, 99.9% germ killer, and freshener in one, making it the smartest toilet solution. The flagship, harpic original is a thick liquid formula that clings to the toilet surface to clean deeply from the rim to the u-bend. Moreover, it also disinfects your toilet and now, with the improved harpic technology, you get 10 times more yellowish stain removal, 5 times better limescale removal, resulting in sparkling clean, hygienic and fresh toilet with every use of Harpic.  This also helps fight odour and any unpleasant smell in and around the toilet. Harpic Power Plus toilet cleaner is many times better than the ordinary bleach, acid and phenyl, when it comes to cleaning, fragrance as well as germ kill. \r\n\r\n\r\nRegular use of Harpic toilet cleaner prevents the build-up of stains in the toilet bowl and keeps it visibly clean with effective removal of germs in the toilet. Harpic is available in various sizes and fragrances including: Orange and Rose. Harpics strategically bent bottleneck shape lets you pour the liquid into deep corners under the toilet rim, without letting your hands touch.']"
Glass & Household Cleaner - Ultra Shine Formula,Colin,3x500 ml Multipack,Rs 259.44,"[""Colin Cleaner Glass and Household have vinegar as the main ingredient known for its strong cleansing action. It removes the dust from your surfaces and makes them spick and span. It is not too harsh on the skin and this formula doesn't even bother your nose. It makes cleaning all kinds of glass surfaces and appliances a breeze.""]"
Home Garbage Bags - Compostable,BB Home,Small,Rs 109,"['Made from cornstarch, it takes 90 to 180 days to decompose. It decomposes completely with the final product becoming manure and making the soil fertile.']"
After Wash Lily Fresh Fabric Conditioner,Comfort,860 ml,Rs 208,"['Want your clothes to shine like new every day? A small step of Comfort After Wash Fabric Conditioner Morning Fresh (Blue) 860 ml gives your clothes unbeatable shine, that detergent alone can not deliver. Even if you use the best detergents, repeated washing can tangle cloth fibres, making them rough, dull & lifeless. Taking a small step of Comfort After Wash Fabric Conditioner nourishes the cloth fibres damaged by detergent, giving them new like shine even over repeated washing. Not only shine, our range of fabric softeners gives visible softness to your favourite clothes while also delivering a long lasting freshness. Features and Benefits:\r\nComfort is an after wash fabric conditioner.\r\nOnly Detergent is not Enough: Comfort is a small step after wash that coats each cloth fibre with a protective layer & prevents the damage caused by repeated washing\r\nNew-like Shine: Comfort nourishes & untangles cloth fibres damaged by washing, and gives clothes an unbelievable shine. \r\nLong-lasting freshness: Now with fragrance pearls for long-lasting freshness.\r\nVisibly Soft Clothes: Leaves clothes feeling soft, smooth & great to wear.\r\nEasy to use: After washing with detergents, pour half a cap of Comfort in a bucket of water & soak clothes for 5 mins. Remove and dry them. Do not rinse the clothes again.']"
Combo Surf Excel Detergent Powder 4 kg + Comfort Lily Fresh Fabric Conditioner 860 ml,bb Combo,Combo 2 Items,Rs 638,"[""Surf Excel Detergent PowderWith Surf Excel Easy Wash, now remove tough stains easily with the power of ten hands. We understand that washing clothes and removing stains can be extremely tiring and cumbersome. Especially if you are a mother of a young kid who fills your laundry basket with clothes covered in an array of stains, grass stains from football practice, ketchup stains from lunch and paint stains from art class. Until now you would have to soak your child's dirty clothes for a couple of hours and then scrub them with your hands using a brush and a bar, and wondered why it takes so much time and effort to remove stains from your kid's clothes? The answer is because regular detergents do not dissolve completely and don't work as effectively.\xa0Surf Excel Easy Wash is a superfine powder that removes tough stains in a jiffy and leaves no residue on your clothes. Being a superfine and fluffy powder it dissolves easily and reaches the stain and removes it easily. Its engineered formula with a superior technology unleashes the power of 10 hands that is effective in removing toughest of the stains such as mud, ink, oil, ketchup, curry stain and chocolate very easily.Features and Benefits:• Surf Excel Easy Wash has the power of 10 hands that removes tough stains easily\xa0• It is a super fine powder that dissolves easily and removes tough stains fast.\xa0• Its superior technology fights various tough stains such as oil, ketchup, chocolate, curry stains\xa0• For tough stains, pre-soak you garments in Surf Excel Easy Wash solution for 30 mins\xa0• Hand-wash - Use 2 scoops of Surf Excel Easy Wash; Machine-wash - Use 3 scoops of Surf Excel Easy Wash\xa0• It works on coloured as well as white garments.Comfort Lily Fresh Fabric ConditionerWant your clothes to shine like new every day? A small step of Comfort After Wash Fabric Conditioner Morning Fresh (Blue) 860 ml gives your clothes unbeatable shine, that detergent alone can not deliver. Even if you use the best detergents, repeated washing can tangle cloth fibres, making them rough, dull & lifeless. Taking a small step of Comfort After Wash Fabric Conditioner nourishes the cloth fibres damaged by detergent, giving them new like shine even over repeated washing. Not only shine, our range of fabric softeners gives visible softness to your favourite clothes while also delivering a long-lasting freshness.Features and Benefits:Comfort is an after wash fabric conditioner.\xa0The only detergent is not enough: Comfort is a small step after wash that coats each cloth fibre with a protective layer & prevents the damage caused by repeated washing\xa0New-like Shine: Comfort nourishes & untangles cloth fibres damaged by washing, and gives clothes an unbelievable shine. Long-lasting freshness: Now with fragrance pearls for long-lasting freshness.\xa0Visibly Soft Clothes: Leaves clothes feeling soft, smooth & great to wear.\xa0Easy to use: After washing with detergents, pour half a cap of Comfort in a bucket of water & soak clothes for 5 mins. Remove and dry them. Do not rinse the clothes again.""]"
Freshwrapp - Standard Aluminium Foil,Hindalco,9 mtr Carton,Rs 71,"['Hindalco Fresh Wrapp Standard Aluminium foil is an extremely hygienic medium for covering, wrapping, storing, baking and sealing of food products. It withstands extreme cold and high heat, making it perfect for all from grilling to freezer storage. It maintains your food fresh for lengthy time. Dimension - Thikness:10.05 Micron, Length: 9m ,Width:30cm']"
Home Kitchen Towel - 2 Ply,BB Home,60 pulls Pack of 4,Rs 119.18,"[""BB Home kitchen Towel is made from 100% virgin fibre. It's durable at the same time soft on your hands with easy to use it is perforated.Perfect for daily use, keep it handy in your kitchen, office table or anywhere you wish to use.""]"
Bathroom Cleaner - Lemon 1 L + Toilet Cleaner - Bleach,Harpic,White & Shine 500 ml,Rs 245.96,"['Harpic Bathroom Cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic Freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9% of germs. It also gives your bathroom a pleasant fresh fragrance.Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs and viruses while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.Removes 100 types of Stains & Germs.99% germ kill action.Whitens dull toilet surface.Bleach for a sparkling white toilet.Available Variants: Power Plus Original, Power Plus Rose, Power Plus Orange in sizes: 200ml, 500ml and 1L.']"
