Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Dry Dog Food - Chicken & Vegetables,Pedigree,For Adult Dogs,Rs 600,"['Pedigree is a complete and balanced food for dogs. Prepared with high-quality ingredients, Pedigree is rich in proteins and nutrition. Pedigree pet food provides dogs with the 5 Signs of Good Health - healthy skin and coat, strong bones and teeth, digestive health, strong muscles and strong immune system. It also contains the optimal blend of Omega 6 and Zinc, which are proven to provide a healthier and shinier coat to puppies and adult dogs.\nPedigree dog food is suited for all dog breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.']"
Wet Dog Food - Chicken & Liver Chunks In Gravy,Pedigree,For Adult Dogs,Rs 500,"['Pedigree Gravy is a nutritious and balanced food for your pet dog. Made with high-quality ingredients, Pedigree provides dogs with the 5 Signs of Good Health - healthy skin and coat, strong bones and teeth, healthy digestive system, strong muscles and a stronger immune system. Containing a higher moisture content, Pedigree gravy food pouches are ideal to keep your pooch hydrated and energetic. It can be mixed with any meal - Pedigree dry food or home-cooked food - to enhance taste and improve moisture content.\nPedigree dog food is suited for all dog breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.']"
Dry Dog Food - Meat & Rice,Pedigree,For Adult Dogs,Rs 600,"['Pedigree is a complete and balanced food for dogs. Prepared with high-quality ingredients, Pedigree is rich in proteins and nutrition. Pedigree pet food provides dogs with the 5 Signs of Good Health - healthy skin and coat, strong bones and teeth, digestive health, strong muscles and strong immune system. It also contains the optimal blend of Omega 6 and Zinc, which are proven to provide a healthier and shinier coat to puppies and adult dogs.\nPedigree dog food is suited for all dog breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.']"
Dentastix - Daily Oral Care,Pedigree,For Adult Large Breed Dogs,Rs 160,"[""Did you know that 4 out of 5 dogs over the age of three suffer from gum disease? But thank god there is Pedigree Dentastix. Dentastix is an effective daily dental care dog treat for your pet dog that is scientifically proven to help reduce tartar build-up in your dog’s teeth by up to 80%. Helpful in keeping your dog's teeth and gums strong and healthy, just one stick of Dentastix a day is enough to keep your dog's mouth clean. The unique x-shape and abrasive texture of Dentastix aid cleaning between teeth and down to the gum line, when fed daily as part of an oral care routine similar to humans. Pedigree Dentastix is completely digestible and has no residue, so it can be served as a tasty dog treat with actual dental benefits.\xa0Pedigree dog treats are suited for all puppy breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.""]"
Wet Dog Food - Chicken Chunks In Gravy,Pedigree,For Puppy,Rs 500,"['Pedigree Gravy is a nutritious and balanced food for your pet dog. Made with high-quality ingredients, Pedigree provides dogs with the 5 Signs of Good Health - stronger immune system, strong muscles, optimal digestion, strong bones & teeth and healthy skin and coat. Containing a higher moisture content, Pedigree gravy food pouches are ideal to keep your pooch hydrated and energetic. It can be mixed with any meal - Pedigree dry food or home-cooked food - to enhance taste and improve moisture-content.Pedigree dog food is suited for all puppy breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.']"
Wet Cat Food - Ocean Fish,Whiskas,For Adult Cats,Rs 35,"[""Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat. A complete and balanced cat food, Whiskas gravy is designed to take care of your cat’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for a healthy and happy life.\nA cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur, heart-health, weight, skin, teeth, muscles, bones and overall immunity.\nWhiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun meal time!\nWhiskas cat food is ideal for cat breeds from Persian Cat, British Shorthair to Siamese Cat.""]"
Wet Cat Food - Chicken In Gravy,Whiskas,For Kittens,Rs 35,"[""Whiskas Kitten Gravy Food provides complete nutrition for your pet kitten. A complete and balanced cat food, Whiskas gravy is designed to take care of your pet’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for healthy growth and happy life.\nA cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur and provides it with healthy bones and body growth, healthy immune system, and energy for play.\nWhiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun mealtime!\xa0Whiskas cat food is ideal for kitten breeds from Persian Cat, British Shorthair to Siamese Cat.""]"
Wet Cat Food - Chicken In Gravy,Whiskas,For Adult Cats,Rs 210,"['Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat. A complete and balanced cat food, Whiskas gravy is designed to take care of your cat’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for a healthy and happy life.\nIt helps maintain its fur, heart-health, weight, skin, teeth, muscles, bones and overall immunity.\nWhiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun mealtime!\nWhiskas cat food is ideal for cat breeds from Persian Cat, British Shorthair to Siamese Cat.']"
Wet Cat Food - Salmon In Gravy,Whiskas,For Adult Cats,Rs 210,"[""Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat. A complete and balanced cat food, Whiskas gravy is designed to take care of your cat’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for a healthy and happy life.\nA cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur, heart-health, weight, skin, teeth, muscles, bones and overall immunity.\nWhiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun mealtime!\nWhiskas cat food is ideal for cat breeds from Persian Cat, British Shorthair to Siamese Cat.""]"
Meat Jerky Stix - Grilled Liver Flavour,Pedigree,For Adult Dogs,Rs 130,"['Share moments of happiness and joy with your dog with Pedigree treat. These dog treats are the perfect combination of great tasting real meat and a soft chewy texture that makes it a special treat to be share every day. This Pedigree adult dog snack offers your best buddy an over-the-top meat experience. Made with real meat, these treats actually smell and taste great. Just watch as your dog comes running in after the first delicious whiff of meat as you open the pack. These tasty dog treats are a deliciously ideal for when you want to see that look of happiness on his sweet face or present as a reward when training your dog.\xa0Pedigree dog treats are suited for all puppy breeds from Pugs, Beagle to Labrador, Golden Retriever & German shepherd.']"
